poiID,poiType,poiName,poiAddress,poiLocation,poiUrl,poiPriceRange,poiPrice,poiPhone,poiTag,poiOperatingHours,poiRating,poiNoOfReviews,poiDescription
P000973,Restaurant,Restoran New Hollywood,"38 Jalan Lee Kwee Foh Taman Canning, Ipoh 31400 Malaysia",,http://www.facebook.com/pages/New-Hollywood-Canning-Garden/161292600602071,$,20,+60 12-290 8887,"Chinese, Asian, Malaysian, Vegetarian Friendly, Vegan Options, Halal",,4.0†,2093,
P000974,Restaurant,STG Tea House Cafe,"2 Jalan Taman Kinta Chateau Garden, Ipoh 30250 Malaysia",,http://www.facebook.com/pages/STG-Tea-House-Cafe/616039191740419,$$ - $$$,70,+60 5-255 0188,"Steakhouse, Fusion, Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",,4.0†,1204,
P000975,Restaurant,Lou Wong Bean Sprout Chicken,"Dato Tahil Azar Road, Ipoh Malaysia",,http://www.facebook.com/RestoranLouWong,$$ - $$$,40,+60 5-254 4199,"Chinese, Asian, Malaysian, Lunch, Dinner, After-hours",,3.5†,2979,
P000976,Restaurant,Pakeeza Restaurant,"15-17 Jalan Dato Seri Ahmad Said, Ipoh 30450 Malaysia",,http://www.facebook.com/pages/Pakeeza-Restaurant/166165560085429,$$ - $$$,70,+60 5-241 4243,"Indian, Asian, Pakistani, Vegetarian Friendly, Vegan Options, Halal",,4.0†,3620,
P000977,Restaurant,Yum yum,"Persiaran Greenhill, Ipoh 30450 Malaysia",,http://www.facebook.com/restaurant.yumyum,$$ - $$$,40,+60 5-253 7686,"Asian, Nonya/, Malaysian, Vegetarian Friendly",,4.0†,4041,
P000978,Restaurant,Restoran Cowan Street Ayam Tauge & Koitiau,"44 Jalan Raja Ekram, Ipoh 31450 Malaysia",,,$$ - $$$,80,+60 12-520 3322,"Chinese, Asian, Dinner",,4.0†,2495,
P000979,Restaurant,Restoran SYW,"No. 63, Jalan Mustapha Al-Bakri,, Ipoh 30300 Malaysia",,http://www.sunyeongwai.com/,$$ - $$$,60,+60 5-241 3771,"Chinese, Asian, Cantonese, Malaysian",,4.5†,908,
P000980,Restaurant,Sin Hup Kee Restaurant,"17 Jalan Leong Sin Nam, Ipoh 30300 Malaysia",,http://www.facebook.com/SinHupKeeRestaurant/,$$ - $$$,90,+60 5-242 3128,"Chinese, Asian, Cantonese, Malaysian",,4.0†,2373,
P000981,Restaurant,Artisan Handmade Bread,"27 Jalan Market, Ipoh Malaysia",,https://www.facebook.com/artisanbreadipoh/,$$ - $$$,40,+60 5-255 2727,"Bakeries, Cafe, Vegetarian Friendly, Vegan Options",,4.5†,1287,
P000982,Restaurant,Concubine Lane Tau Fu Fa,"8 Lorong Panglima 30000 Ipoh, Ipoh 30000 Malaysia",,http://www.facebook.com/concubinelanetff/,$,20,+60 12-527 1028,"Quick Bites, Chinese, Asian, Lunch",,4.0†,4334,
P000983,Restaurant,Big Mom Beancurd,"22-24, Jalan Yang Kalsom, Taman Jubilee, Ipoh 30250 Malaysia",,https://big-mom-beancurd.business.site/,$,20,+60 16-533 3210,"Dessert, Chinese, Asian, Vegetarian Friendly",,4.5†,9,
P000984,Restaurant,Sun Yeong Wai,"No. 17 & 19, Bwh. Jalan Sri Ampang, Ipoh 31350 Malaysia",,http://www.sunyeongwai.com/,$$ - $$$,100,+60 5-311 3600,"Chinese, Asian, Malaysian",,4.5†,4138,
P000985,Restaurant,Nasi Vanggey,"2 Jalan Yang Kalsom Greentown Business Centre, Ipoh 30300 Malaysia",,http://www.facebook.com/nasivanggey/,$,20,+60 5-254 4314,"Indian, Asian, Malaysian, Halal",,4.0†,1186,
P000986,Restaurant,Girlie's Cafe,"26 Jalan Market, Ipoh 30000 Malaysia",,http://www.facebook.com/GirliesCafe,$$ - $$$,60,+60 16-550 4451,"Cafe, International, Fusion",,5.0†,1341,
P000987,Restaurant,Citrus Wine & Dine,"No. 38-46 Laluan Ipoh Perdana, Ipoh 31400 Malaysia",,http://www.facebook.com/Citrus.Wine.and.Dine,$$ - $$$,100,+60 5-545 1010,"Italian, French, European",,4.5†,1614,
P000988,Restaurant,J J Cakes and Swiss Rolls,"127 Jalan Bharu 30250 Ipoh, Ipoh 31650 Malaysia",,http://www.jj-cakes.com/,$$ - $$$,50,+60 5-254 5796,Bakeries,,4.0†,2586,
P000989,Restaurant,Foh San,"Ipoh, Malaysia 51 Jalan Leong Sin Nam, Ipoh 30300 Malaysia",,,$$ - $$$,70,+60 5-254 0308,"Chinese, Asian, Cantonese, Breakfast, Lunch, Brunch",,3.5†,1382,
P000990,Restaurant,Canning Dim Sum,"1 Lebuh Cecil Rae Taman Canning, Ipoh 31400 Malaysia",,https://www.facebook.com/canningdimsumipoh/,$$ - $$$,50,6055415556,"Chinese, Asian, Cantonese, Halal",,4.5†,3175,
P000991,Restaurant,Kedai Minuman Woong Kee,"Jalan Ali Pitchay 32-38a, Ipoh 30250 Malaysia",,https://www.facebook.com/wkbeancurd/,$,20,+60 16-533 3210,"Dessert, Cafe, Fast, food, Takeout",,4.5†,3478,
P000992,Restaurant,V Nam Kitchen,"32 Jalan Seenivasagam, Ipoh 31200 Malaysia",,http://www.facebook.com/vnamkitchen/,$$ - $$$,70,+60 5-210 2522,"Asian, Vietnamese, Vegetarian Friendly",,4.0†,3377,
P000993,Restaurant,Chang Jiang White Coffee,"7 Jalan Winsor, Ipoh Malaysia",,https://www.facebook.com/ipohchangjiangwhitecoffee/?hc_ref=PAGES_TIMELINE,$,20,+60 5-253 8896,"Chinese, Cafe, Asian, Breakfast, Lunch, Brunch",,4.0†,902,
P000994,Restaurant,Maiale Japanese Style Italian Restaurant,"5 Jalan Datuk Yeoh Cheng Lee, Ipoh 30300 Malaysia",,http://www.facebook.com/Maiale-Japanese-Style-Italian-Restaurant-436853349812401/,$$ - $$$,70,+60 5-241 1405,Italian,,4.5†,1797,
P000995,Restaurant,Having's,"Pusat Perdagangan Canning No 8 Jalan Canning Estate, Ipoh 31400 Malaysia",,http://www.facebook.com/havingsipoh/,$$ - $$$,50,+60 17-453 9089,"French, European",,4.5†,1292,
