Name,Type,Hours,Duration,Description,Price,Address,Rating
Entopia,Farms,9:00 AM - 5:00 PM,Duration: 2-3 hours,"Entopia, a tropical sanctuary for our planet's little denizens from those that fly freely in the sky to the ones that creep stealthily beneath the ground. Journey into a magical paradise that honours the unsung heroes of our natural world with plenty to discover from outdoor adventures to cavernous mysteries and a multi-storey Indoor Discovery Centre. Live the moment with exciting interactive workshops and activities. There's something for everyone. Join us to experience the seen and unseen in Nature. We are the voice of nature.",from RM 61.62,"830 Jalan Teluk Bahang, Teluk Bahang, Penang Island 11050 Malaysia",4.5
Cheong Fatt Tze - The Blue Mansion,Historic Sites,"11:00 AM - 12:00 PM, 2:00 PM - 3:00 PM",Duration: < 1 hour,"Discover the story of The Blue Mansion Come in and immerse yourself in the architecture and history of iconic The Blue Mansion, one of George Town’s most lauded architectural gems. Our trained guides will provide comprehensive insight into how the mansion came to be, its heritage, and the man whose vision brought this grand home to fruition. Covering the reception hall, the famed courtyard and the museum exhibition on the second floor, the tour will take 45 minutes in total. Please note that in order to guard the privacy of our hotel guests, only some parts of the mansion are accessible during the tour, but we do encourage guests to experience different facets of The Blue Mansion through staying with us, having a classic cocktail at the bar, or enjoying a meal at our restaurant – Indigo",,"14 Lebuh Leith, George Town, Penang Island 10200 Malaysia",4
Kilim Karst Geoforest Park,Parks,8:30 AM - 6:00 AM,,,,,4.5
Baba & Nyonya Heritage Museum,History Museums,10:00 AM - 4:15 PM,Duration: < 1 hour,"The Baba & Nyonya Heritage Museum is located in Melaka, a world UNESCO Site. The house is a combination of three terrace lots that were acquired by the Chan family in 1861. Four generations lived in the house before it was opened as a museum in March 1985. Visiting hours from 10.00am to 4.30pm every day.",,"Nos. 48 & 50 Jalan Tun Tan Cheng Lock, Melaka 75200 Malaysia",4.5
Lost World Of Tambun,Amusement & Theme Parks,11:00 AM - 11:00 PM,Duration: More than 3 hours,"The little world of big adventures, Sunway Lost World of Tambun is Malaysia’s premiere action and adventure family holiday destination in Ipoh, Malaysia. A theme park located in the historic town of Ipoh, in the middle of the North-South corridor in Perak; and is set in the natural landscapes of Ipoh, surrounded by exquisitely breath-taking limestone features. Whether it’s a weekend of mayhem oozing with family fun or a burst of eco-adventure that you’re seeking, take it all in as you journey through the attractions of the Lost World of Tambun. Nine (9) main parks make up this world of adventure – the Water Park, Lost World Amusement Park, Lost World Hot Springs & Night Park, Lost World Tiger Valley, Lost World Petting Zoo, the Lost World Tin Valley, Lost World Adventure Park, Hippo Kingdom and Luminous Forest.",,"No. 1 Persiaran Lagun Sunway 1 Perak Darul Ridzuan, Ipoh 31150 Malaysia",4
MinNature Malaysia,Speciality Museums,10:00 AM - 8:00 PM,Duration: 1-2 hours,"A place to celebrate the wonder cultural heritage that makes us Malaysian. Enter this world of miniature and be mesmerised with all the intricate details MinNature Malaysia has to offer. Enjoy the mini stories that comes together and be lost in this magical MinNature world. Come visit us and enjoy your time here. We are at Level 1, inside Sungei Wang Plaza; a little hidden in the Green Zone.",,"Jalan Sultan Ismail Lot No. MUF-1, Level 1 Green Zone, JUMPA @ Sungei Wang Plaza, Kuala Lumpur 50250 Malaysia",5
Sunway Lagoon,Amusement & Theme Parks,10:00 AM - 6:00 PM,Duration: More than 3 hours,"Malaysia's premier multi-park destination offers more than 90 attractions across its six parks - Amusement Park, Water Park, Wildlife Park, Extreme Park, Scream Park, and Asia's First Nickelodeon Themed Land, Nickelodeon Lost Lagoon! Once you step in, you can spend the entire day here! Explore the various Dining options available at the theme park. If you need some place to sleep, we are just next door to the Sunway Resort Hotel & Spa. We also play host to some of the hottest acts and global events so stay tuned for upcoming events and promotion.",from RM 58.19,"No 3, Jalan PJS 11/11, Bandar Sunway, Bandar Sunway, Petaling Jaya 46150 Malaysia",4
Labuk Bay Proboscis Monkey Sanctuary,Nature & Wildlife Areas,,,,,Visit website,4.5
Perdana Botanical Garden,Parks,8:30 AM - 5:00 PM,Duration: 2-3 hours,Pack a picnic and stroll through this green oasis in the city. Consider getting an early start or exploring after the worst of the heat has passed.,,"Jalan Kebun Bunga Tasik Perdana, Kuala Lumpur 55300 Malaysia",4
BB Park Bukit Bintang,Shopping Malls,12:00 AM - 11:59 PM,,,,"Jalan Bukit Bintang, Kuala Lumpur 55100 Malaysia",4
Tanjung Rhu Beach,Beaches,,,,,"Langkawi Island, Langkawi 07000 Malaysia",4.5
Bako National Park,National Parks,,Duration: More than 3 hours,,,"Jalan Bako, Kuching 93050 Malaysia",4.5
Berjaya Times Square Kuala Lumpur,Shopping Malls,10:00 AM - 10:00 PM,,,,"1 Jalan Imbi, Kuala Lumpur 55100 Malaysia",4
