Name,Type,Hours,Address,Rating
Telaga Tujuh Waterfalls,Waterfalls,,"Gunung Mat Chincang, Langkawi 07100 Malaysia",4.5
Sultan Abdul Samad Building,Architectural Buildings,,"Jalan Raja Merdeka Square, Kuala Lumpur 50050 Malaysia",4
Mossy Forest,Forests,,,4
St. Paul's Hill & Church (Bukit St. Paul),Ancient Ruins,,"Jalan Kota, Melaka 75000 Malaysia",4
Jamek Mosque,Religious Sites,"8:30 AM - 12:30 PM, 2:30 PM - 4:00 PM","Jalan Tun Perak, Kuala Lumpur 56000 Malaysia",4
Chin Swee Cave Temple,Points of Interest & Landmarks,,"Genting Highlands, Pahang Darul Makmur, Genting Highlands 69000 Malaysia",4.5
Penang Botanical Gardens,Gardens,,,4
Sandakan Memorial Park,History Museums,,"Mile 8 Jalan Labuk Taman Rimba, Sandakan 90702 Malaysia",4.5
MyBatik,Art Galleries,8:00 AM - 3:00 PM,"51, Embun Kemensah Jalan Tiara Kemensah 3, Kuala Lumpur 68000 Malaysia",5
Dharmikarama Burmese Temple,Religious Sites,,,4.5
Johor Bahru City Square,Shopping Malls,10:00 AM - 10:00 PM,"Jalan Wong Ah Fook, Johor Bahru 80000 Malaysia",4
Reclining Buddha Wat Chaiyamangalaram,Religious Sites,6:00 AM - 5:30 PM,,4
Kek Lok Tong Cave Temple and Zen Gardens,Religious Sites,,"Gunung Rapat, Ipoh 30450 Malaysia",4.5
Kuching Esplanade,Points of Interest & Landmarks,,"Jalan Main, Kuching 93000 Malaysia",4
Jalan Masjid India,Points of Interest & Landmarks,,,4
Kota Kinabalu City Mosque,Religious Sites,,,4
IOI City Mall,Shopping Malls,10:00 AM - 10:00 PM,"Lebuhraya Lembah Kelang Selatan, Putrajaya 60520 Malaysia",4
Kuala Lumpur Sentral Railway Station,Points of Interest & Landmarks,,"1 Jalan Travers, Kuala Lumpur 50470 Malaysia",4
Penang National Park (Taman Negara Pulau Pinang),National Parks,,,4
Stadthuys,Architectural Buildings,,,4
Bintang Walk,Neighbourhoods,,Visit website,4
Gurney Plaza,Shopping Malls,10:00 AM - 10:00 PM,"Plaza Gurney Persiaran Gurney, George Town, Penang Island 10250 Malaysia",4
Sungei Wang Plaza,Shopping Malls,10:00 AM - 10:00 PM,"55100 Jalan Bukit Bintang Swp Box No. 009, Kuala Lumpur 55100 Malaysia",4
Taiping Lake Gardens,Gardens,12:00 AM - 11:59 PM,"Jalan Taman Tasik, Taiping 34000 Malaysia",4.5
Cheng Hoon Teng Temple,Religious Sites,,"No. 25, Jalan To’kong, Melaka 75200 Malaysia",4
Cameron Bharat Tea Estate,Farms,,,4
Melaka Straits Mosque,Points of Interest & Landmarks,,"Jalan Pulau Melaka 8, Melaka 75000 Malaysia",4.5
Perak Tong Cave Temple,Points of Interest & Landmarks,,"6 Km's North of Ipoh on road to Jalan Kuala Kangsar, Kawasan Perindustrian Tasek, Ipoh 31400 Malaysia",4
Kuala Lumpur Convention Centre,Convention Centres,8:00 AM - 7:00 PM,"Traders Hotel Jalan Pinang Kuala Lumpur City Centre, Kuala Lumpur 50088 Malaysia",4.5
Eagle Square,Points of Interest & Landmarks,,,4
Sultan Salahuddin Abdul Aziz Shah Mosque,Art Galleries,"9:00 AM - 12:30 PM, 2:00 PM - 4:00 PM, 4:45 PM - 6:30 PM","Persiaran Masjid Seksyen 5, Shah Alam 40000 Malaysia",4.5
Bank Negara Malaysia Museum and Art Gallery,Art Galleries,10:00 AM - 5:00 PM,"Sasana Kijang 2, Jalan Dato' Onn, Kuala Lumpur 50480 Malaysia",4.5
Little India Brickfields,Neighbourhoods,,"Jalan Travers to Jalan Tun Sambanthan, Brickfields, Kuala Lumpur 50470 Malaysia",3.5
Langkawi Night Market,Flea & Street Markets,,"Kuah, Temoyong, Air Hangat, Padang Matsirat Jalan Ulu Melaka Jalan Kedawang, Langkawi 07000 Malaysia",4
Tip of Borneo,Points of Interest & Landmarks,,,4.5
River Walk,Points of Interest & Landmarks,,,4
Christ Church,Points of Interest & Landmarks,,"Jalan Kota, Melaka 75000 Malaysia",4
Imago Shopping Mall,Shopping Malls,10:00 AM - 10:00 PM,"Jalan Tiung Phase 2 Off Coastal Highway, Kota Kinabalu 88100 Malaysia",4
Turtle Sanctuary Beach,Beaches,,,4.5
George Town,Historic Sites,,,4
Gaya Street Sunday Market,Flea & Street Markets,,,4
Teluk Chempedak,Beaches,,,4
Mount Santubong,Mountains,,,4.5
Putrajaya Bridge,Bridges,,,4
Genting Highlands Premium Outlets,Shopping Malls,,"premium outlet Genting, Genting Highlands 69000 Malaysia",4
Masjid Wilayah Persekutuan,Religious Sites,,"50480 Jalan Duta, Kuala Lumpur 50480 Malaysia",4.5
