Title,Location,Link,Distance,Review_Score,Review_description,Number_Of_Reviews,Details,Price
THE ELEMENTS JALAN AMPANG,"Ampang, Kuala Lumpur",https://www.booking.com/hotel/my/the-elements-jalan-ampang-kuala-lumpur2.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=1062430001_378646885_2_0_0&highlighted_blocks=1062430001_378646885_2_0_0&matching_block_id=1062430001_378646885_2_0_0&sr_pri_blocks=1062430001_378646885_2_0_0__28656&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,7.5,Good ,4 reviews,Travel Sustainable Level 3,MYR 287
Urban Suite - George Town,Jelutong,https://www.booking.com/hotel/my/urban-suite-george-town-jelutong.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=1087425403_383041350_6_0_0&highlighted_blocks=1087425403_383041350_6_0_0&matching_block_id=1087425403_383041350_6_0_0&sr_pri_blocks=1087425403_383041350_6_0_0__105300&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,9.4,Superb ,8 reviews,Travel Sustainable Level 3,"MYR 1,053"
"Seaview Holiday Home, by Sanguine",Tanjong Tokong,https://www.booking.com/hotel/my/seaview-holiday-home-by-sanguine.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=667202002_295970982_4_0_0&highlighted_blocks=667202002_295970982_4_0_0&matching_block_id=667202002_295970982_4_0_0&sr_pri_blocks=667202002_295970982_4_0_0__49900&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,5.6,Review score ,564 reviews,Travel Sustainable Level 1,MYR 499
AeCOTEL,Sandakan,https://www.booking.com/hotel/my/aecotel.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=983352605_370772918_0_0_0&highlighted_blocks=983352605_370772918_0_0_0&matching_block_id=983352605_370772918_0_0_0&sr_pri_blocks=983352605_370772918_0_0_0__10450&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.5,Very good ,309 reviews,Travel Sustainable Level 1,MYR 105
SUMMER SUITES APARTMENT-The Summer Shopping Mall,Kota Samarahan,https://www.booking.com/hotel/my/sumer-suites-apartment-the-summer-shopping-mall.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=932734001_365358222_4_0_0&highlighted_blocks=932734001_365358222_4_0_0&matching_block_id=932734001_365358222_4_0_0&sr_pri_blocks=932734001_365358222_4_0_0__22050&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.3,Very good ,51 reviews,Travel Sustainable Level 2,MYR 221
Rajawali Homes Kota Marudu,Kampong Sorosob,https://www.booking.com/hotel/my/rajawali-homes-kota-marudu.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=1045953501_382120495_2_2_0&highlighted_blocks=1045953501_382120495_2_2_0&matching_block_id=1045953501_382120495_2_2_0&sr_pri_blocks=1045953501_382120495_2_2_0__12960&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,9.1,Superb ,38 reviews,Travel Sustainable Level 1,MYR 130
Starlink Hotel,Sibu,https://www.booking.com/hotel/my/starlink.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=794898601_339575489_2_0_0&highlighted_blocks=794898601_339575489_2_0_0&matching_block_id=794898601_339575489_2_0_0&sr_pri_blocks=794898601_339575489_2_0_0__9245&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.8,Fabulous ,"1,931 reviews",Travel Sustainable Level 1,MYR 92
Savana Hotel & Serviced Apartments,Kuala Perlis,https://www.booking.com/hotel/my/savana.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=562709705_211929276_2_0_0&highlighted_blocks=562709705_211929276_2_0_0&matching_block_id=562709705_211929276_2_0_0&sr_pri_blocks=562709705_211929276_2_0_0__13500&from=searchresults#hotelTmpl,,8.8,Fabulous ,"1,280 reviews",,MYR 135
Baling Mountain Garden Village,Baling,https://www.booking.com/hotel/my/baling-mountain-garden-village.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=253162702_203233101_0_0_0&highlighted_blocks=253162702_203233101_0_0_0&matching_block_id=253162702_203233101_0_0_0&sr_pri_blocks=253162702_203233101_0_0_0__21500&from=searchresults#hotelTmpl,,6.9,Review score ,783 reviews,,MYR 215
Courtyard by Marriott Setia Alam,Setia Alam,https://www.booking.com/hotel/my/courtyard-by-marriott-setia-alam.en-gb.html?label=bin859jc-1DCAEoggI46AdIM1gDaKEBiAEBmAEcuAEXyAEM2AED6AEBiAIBqAIDuAL947WqBsACAdICJDdmYjcyNmJmLTkzMzItNDA3OS05MzliLWE1YWQxZmU2NGZlZtgCBOACAQ&sid=85489ec5df5af134b1a3c27784987624&aid=397645&ucfs=1&arphpl=1&checkin=2023-12-27&checkout=2023-12-28&dest_id=128&dest_type=country&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=577f005c66a1013f&srepoch=1699574594&all_sr_blocks=916678005_363180467_0_2_0&highlighted_blocks=916678005_363180467_0_2_0&matching_block_id=916678005_363180467_0_2_0&sr_pri_blocks=916678005_363180467_0_2_0__34980&from_sustainable_property_sr=1&from=searchresults#hotelTmpl,,8.9,Fabulous ,353 reviews,Travel Sustainable Level 2,MYR 350
