Name,Rating,Address,URL,Price,Type,Phone,Cousine
Xin Teh Bak Kut Teh,4.5 ,"Lot G-18, Cameron Square, Jalan Aranda Nova, Brinchang 39100 Malaysia",,$,$ChineseMalaysianMedicinal foods,+60 12-636 8884,"Lunch, Dinner"
Yow Hoo Restaurant,4.0 ,"No 3, Jalan Besar, Brinchang 39100 Malaysia",,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 12-516 7333,Vegetarian Friendly
My Cake Home,3.5 ,"No. 11, Jalan Besar, Tanah Rata 39000 Malaysia",https://www.facebook.com/mycakehomech/,$$ - $$$,$$ - $$$DessertChinesePizza,+60 5-491 1388,"Chinese, Pizza, Malaysian, Cafe, Thai"
Cactus View Restaurant,4.0 ,"Pekan lama, 39100, Brinchang Malaysia",,$$ - $$$,$$ - $$$ChineseBarbecueAsian,+60 12-261 8599,"Lunch, Dinner"
Cameron Valley Tea House 2,4.0 ,"Batu 34, Jalan Besar, Tanah Rata 39000 Malaysia",http://bharattea.com.my/,$$ - $$$,$$ - $$$,+60 5-491 5742,
C Buddys Steamboat,4.0 ,"Cameron Fair, C-1-7 Jalan Camelia, Tanah Rata 39000 Malaysia",,$$ - $$$,$$ - $$$ChineseAsianSoups,+60 11-3543 1813,Vegan Options
The Barracks Cafe - Cameron Highlands,4.5 ,"No 1 Jalan Gereja, Tanah Rata 39000 Malaysia",,$$ - $$$,$$ - $$$CafeEuropeanHealthy,+60 11-1464 8883,"Lunch, Dinner"
Amsterdam Cafe,4.0 ,"40, 59, Tanah Rata 39000 Malaysia",,$$ - $$$,$$ - $$$CafeDeliCaucasian,+60 5-491 5645,Vegetarian Friendly
G.V. Stall,4.5 ,"2000 Jalan Mentigi Utama Gerai MDCH No 13, Tanah Rata 39000 Malaysia",,$,$IndianAsianMalaysian,+60 10-210 6255,"Vegetarian Friendly, Vegan Options"
Rain Forest Cafe,5.0 ,"No. CG 002 & CG 003 , Cameron Fair, Jalan Camellia Tanah Rata, Cameron Highlands, Pahang, Tanah Rata 39000 Malaysia",,American,AmericanBarCafeAsian,+60 19-751 9103,"Lunch, Dinner, After-hours, Drinks"
Highlands Spice,5.0 ,"No 26, Jalan Besar Tanah Rata, Tanah Rata 39000 Malaysia",,Indian,IndianAsianMalaysian,+60 17-421 2572,"Breakfast, Lunch, Dinner, Brunch, Drinks"
Pane Barista House,5.0 ,"C-1-09 Cameron Fair, Jalan Camellia, Tanah Rata 39010 Malaysia",,$,$CafeInternational,+60 12-427 6273,"Breakfast, Lunch, Dinner, Brunch, Drinks"
Growing Seed Cafe,5.0 ,"C3-1-2 Cameron Jaya, Jalan Tengkolok, Tanah Rata 39000 Malaysia",,$,$AsianFusionMalaysian,+60 12-524 2900,"Asian, Fusion, Malaysian"
Rosette,3.5 ,"42, Jalan Besar, Tanah Rata 39000 Malaysia",http://www.facebook.com/pages/Rosette-Cafe-Tanah-Rata-Cameron-Highlands/217677801590882?nr,$$ - $$$,$$ - $$$InternationalAsianMalaysian,+60 5-491 3159,Vegetarian Friendly
English Coffee House,4.5 ,"No 8 Chateau Avenue Smurf Inn Homestay, Tanah Rata 39000 Malaysia",http://www.facebook.com/smurfinnhomestay,$,$AsianMalaysian,+60 14-306 7685,"Asian, Malaysian"
Rasa Sayang Cafe,4.5 ,"No 7, Jalan Besar, Tanah Rata 39000 Malaysia",,Middle Eastern,Middle EasternArabicVegetarian Friendly,+60 17-594 7256,Vegetarian Friendly
Secret Garden Cafe,4.5 ,"No 4, Jalan Mentigi At Fathers Guesthouse, Tanah Rata 39000 Malaysia",,$$ - $$$,$$ - $$$Cafe,+60 16-566 1111,"Breakfast, Brunch"
Rosendale,3.5 ,"42 Jalan Besar, Tanah Rata Malaysia",,$$ - $$$,$$ - $$$AsianMalaysian,,"Dinner, Lunch, Brunch"
Papa Sushi & Hotpot Cameron,4.0 ,"No.13, Jalan Besar, Tanah Rata 39000 Malaysia",,Japanese,JapaneseSeafoodFast foodSushi,+60 19-427 3570,"Dinner, Lunch, Brunch"
Orchid food corner,4.0 ,"Jalan camelia, Tanah Rata Malaysia",,$,$AsianMalaysianVegetarian Friendly,,"Vegetarian Friendly, Halal"
Paradise Reyan Restaurant,4.0 ,"Jalan Sungai Ruil, Brinchang 39000 Malaysia",,$$ - $$$,$$ - $$$AmericanPizzaMiddle Eastern,+60 3-2110 6339,"American, Pizza, Arabic, Middle Eastern"
Yash Banana Leaf,4.5 ,"No 52, Jalan Besar, Tanah Rata, Tanah Rata 39000 Malaysia",,Indian,Indian,+60 10-363 1243,"Breakfast, After-hours, Lunch, Dinner"
The Hill's Hideouts Cafe - Cameron Laundromat & Cafe,4.5 ,"No 49, Jalan Besar, Cameron Highlands, Tanah Rata 39000 Malaysia",,$,$SouthwesternAsianMalaysian,+60 12-484 3934,"Southwestern, Asian, Malaysian"
Jasmine Cafe House,3.5 ,"45 Main Road, Tanah Rata Malaysia",,$$ - $$$,$$ - $$$EuropeanAsian,+60 19-554 2310,"Lunch, Dinner"
Ok Tuck,3.0 ,"Jalan bandar, Brinchang Malaysia",,$$ - $$$,$$ - $$$ChineseAsianMalaysian,+60 12-461 5126,"Lunch, Dinner"
Jim Thompson's Tea Room at Bala's,4.0 ,"Lot 55, Jalan Masjid, Tanah Rata 39000 Malaysia",,$$ - $$$,$$ - $$$,+60 5-491 1660,"Reservations, Seating, Table Service"
Restoran Tringkap,4.0 ,"14 Taman Puncak Tringkap, Brinchang Malaysia",,$$ - $$$,$$ - $$$ChineseAsianMalaysian,6054962324,"Dinner, Lunch"
Highlands Steamboat Restaurant,3.5 ,"26, Jalan Besar Brinchang, Brinchang 39100 Malaysia",,$$ - $$$,$$ - $$$ChineseAsianSoups,+60 5-491 2380,"Lunch, Dinner"
Pizzarella Misokimchi,5.0 ,"C-G-38, Presint 1 Cameron Centrum, Brinchang 39100 Malaysia",http://www.pizzarellamisokimchi.com/,Japanese,JapanesePizzaCafeAsian,+60 5-491 4308,"Lunch, Dinner"
Restoran Taman Apple Cameron Steamboat & Grill,3.5 ,"891-A, Persiaran Dayang Indah, Tanah Rata 39000 Malaysia",https://restoran-taman-apple-cameron-steamboat-grill.business.site/,$$ - $$$,$$ - $$$AsianMalaysianHalal,+60 16-225 0315,Halal
