Name,Rating,Address,URL,Price,Type,Phone,Cousine
Restoran Wonderland Valley,4.0 ,"Lot 9253 Kampung Bukit Tinggi, Bentong 28750 Malaysia",,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 12-950 9882,"Chinese, Seafood, Soups, Asian, Malaysian"
Motorino Malaysia,3.5 ,"Level 4 SkyAvenue Resorts World Genting, Genting Highlands 69000 Malaysia",,$$ - $$$,$$ - $$$ItalianPizzaVegetarian Friendly,+60 3-6105 9182,"Italian, Pizza"
Beauty In The Pot,3.5 ,"Lot T3-25-30, SkyAvenue Rooftop SkyAvenue, Genting Highlands 69000 Malaysia",,$$ - $$$,$$ - $$$ChineseAsianSoups,+60 3-6101 1392,"Lunch, Dinner, After-hours"
Bee's Dessert & Coffee,4.5 ,"P9, Jalan Persona Kampung Bukit Tinggi, Bentong 28750 Malaysia",http://facebook.com/beesdco,$,$ItalianPizzaCafe,+60 9-233 0037,"Italian, Pizza, Cafe"
Fantasy Valley Restaurant,3.5 ,"Lot 926 Kampung Bentong, Bukit Tinggi, Bentong 28750 Malaysia",https://www.facebook.com/%E6%A1%83%E6%BA%90%E8%B0%B7%E9%A5%AD%E5%BA%97Fantasy-Valley-Restaurant-1638281959764241/,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 12-222 2327,Dinner
A Little Farm On The Hill,4.5 ,"a Little Farm on The Hill Lot 161 Tanarimba Janda Baik., Persiaran Enderong, 28750 Bentong, Pahang, Bentong Malaysia",,International,International,,Reservations
Ayu Awana,4.5 ,"Resorts World Awana Lobby Level, Awana Hotel, Genting Highlands 69000 Malaysia",http://www.zoukatrium.com/ayuawana,Bar,BarInternationalBarbecueAsian,+60 19-390 3738,"Bar, International, Barbecue, Asian, Pub, Diner, Healthy, Malaysian"
BBQ Chan,4.0 ,"No. Lot 25001-A Kampung Bukit Tinggi, Bentong 28750 Malaysia",https://www.facebook.com/BBQChanBukitTinggi/,Chinese,ChineseSeafoodAsianFusion,+60 12-357 7111,Dinner
FUHU,5.0 ,"Level G , Zouk Atrium,, SkyAvenue Resorts World Genting, Genting Highlands 69000 Malaysia",https://fuhudining.com/,$$$$,$$$$BarAsianPub,+60 3-6105 9461,"Bar, Asian, Pub, Dining bars"
Hock Lay Restaurant,4.5 ,"14 Kampung Bharu Ulu Yam, Batang Kali 44300 Malaysia",,Chinese,ChineseSeafoodAsianMalaysian,+60 3-6075 1826,Reservations
Park Avenue Lounge,4.5 ,"Level G, SkyAvenue, Genting Highlands 69000 Malaysia",https://www.facebook.com/ParkAvenueLounge/,European,European,,
First World Cafe,3.5 ,"First World Hotel Genting Highland, Genting Highlands Malaysia",,$$ - $$$,$$ - $$$IndianAsianMalaysian,,"Vegetarian Friendly, Vegan Options"
Lobby Cafe,3.5 ,"First World Hotel, Genting Highlands 69000 Malaysia",http://www.rwgenting.com/Dining/Restaurants/All_Restaurants/Lobby_Cafe/,$$ - $$$,$$ - $$$ChineseCafeAsian,+60 3-6101 1118,"Breakfast, Lunch, Dinner"
La boulangerie colmar tropicale,3.5 ,"Km 48 persimpanhan bertingkat, Bukit Tinggi, Bentong Malaysia",http://colmartropicale.com.my/,$$ - $$$,$$ - $$$BakeriesCafe,,"Takeout, Wheelchair Accessible"
Dome Cafe,3.5 ,"Genting Highlands Premium Outlets, Suite 1118, Genting Highlands 69000 Malaysia",,$$ - $$$,$$ - $$$Cafe,+60 3-6436 8087,"Seating, Accepts Credit Cards"
C Chuan Village,4.5 ,"Sky Avenue Lot T2-46-47, Level 1, Genting Highlands 69000 Malaysia",,,,,
Wan Hoi Char Chan Ting,4.5 ,"Lot No 2-8 Level 2, Awana Skyway Station, Genting Highlands 69000 Malaysia",https://www.facebook.com/%E9%BA%A6%E9%BA%A6%E8%BD%A6%E4%BB%94%E9%9D%A2-Wan-Hoi-Char-Chan-Ting-2164950333522418/,$$ - $$$,$$ - $$$Fast foodStreet Food,,
Restoran Hou Wan,4.0 ,"No. 24, Jalan Jati 1 Gohtong Jaya, Pahang Darul Makmur, Genting Highlands 69000 Malaysia",,$$ - $$$,$$ - $$$Chinese,+60 3-6100 1069,
,,,,,,,
Old Town White Coffee,3.5 ,"B-5, Taxi Stand Resort Hotel, Genting Highlands 69000 Malaysia",http://www.oldtown.com.my/,$$ - $$$,$$ - $$$,+60 3-6101 2713,
Zouk Genting,4.5 ,"Zouk Atrium, SkyAvenue, Genting Highlands 69000 Malaysia",,$$$$,$$$$AmericanAsian,+60 19-390 3738,"American, Asian"
Tanah Aina Fareena Cafe & Restaurant,4.5 ,"Lot 6073 54.3 Km Karak Highway, Bentong 28700 Malaysia",http://www.tanahaina.com/fareena,$$ - $$$,$$ - $$$SeafoodAsianThai,+60 9-233 9112,
Tampopo Delicieux,3.5 ,"Level T2 Sky Avenue, Genting Highland Resort, Genting Highlands 69000 Malaysia",https://www.tampopo.com.sg/tampopo_genting.html,$$ - $$$,$$ - $$$JapaneseAsianHalal,+60 3-6101 2009,Halal
Lao Di Fang,4.0 ,"Lower Lobby Floor Maxims Genting Hotel, Genting Highlands Malaysia",http://www.rwgenting.com/,$$ - $$$,$$ - $$$Asian,+60 3-6101 1118,Asian
Penang Food Kopitiam,4.5 ,"No. 7A, Jalan Boulevard 2 Block B, Genting Permai Boulevard, Genting Highland, Pahang Darul Makmur, Genting Highlands 69000 Malaysia",,$,$ChineseAsianStreet Food,+60 12-330 1128,"Asian, Street Food, Malaysian, Chinese"
Purple Cane Tea Restaurant,3.5 ,"C1 Jalan Tanarimba Pine Tanarimba Janda Baik, Janda Baik, Bentong Malaysia",http://www.tearestaurant.com.my/,$$ - $$$,$$ - $$$ChineseMalaysianVegetarian Friendly,+60 9-233 0349,Vegetarian Friendly
