Name,Rating,Address,URL,Price,Type,Phone,Cousine
Restoran New Hollywood,4.0 ,"38 Jalan Lee Kwee Foh Taman Canning, Ipoh 31400 Malaysia",http://www.facebook.com/pages/New-Hollywood-Canning-Garden/161292600602071,$,$ChineseAsianMalaysian,+60 12-290 8887,"Vegetarian Friendly, Vegan Options, Halal"
STG Tea House Cafe,4.0 ,"2 Jalan Taman Kinta Chateau Garden, Ipoh 30250 Malaysia",http://www.facebook.com/pages/STG-Tea-House-Cafe/616039191740419,$$ - $$$,$$ - $$$SteakhouseFusionVegetarian Friendly,+60 5-255 0188,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
Lou Wong Bean Sprout Chicken,3.5 ,"Dato Tahil Azar Road, Ipoh Malaysia",http://www.facebook.com/RestoranLouWong,$$ - $$$,$$ - $$$ChineseAsianMalaysian,+60 5-254 4199,"Lunch, Dinner, After-hours"
Pakeeza Restaurant,4.0 ,"15-17 Jalan Dato Seri Ahmad Said, Ipoh 30450 Malaysia",http://www.facebook.com/pages/Pakeeza-Restaurant/166165560085429,$$ - $$$,$$ - $$$IndianAsianPakistani,+60 5-241 4243,"Vegetarian Friendly, Vegan Options, Halal"
Yum yum,4.0 ,"Persiaran Greenhill, Ipoh 30450 Malaysia",http://www.facebook.com/restaurant.yumyum,$$ - $$$,$$ - $$$AsianNonya/MalaysianMalaysian,+60 5-253 7686,Vegetarian Friendly
Restoran Cowan Street Ayam Tauge & Koitiau,4.0 ,"44 Jalan Raja Ekram, Ipoh 31450 Malaysia",,$$ - $$$,$$ - $$$ChineseAsian,+60 12-520 3322,Dinner
Restoran SYW,4.5 ,"No. 63, Jalan Mustapha Al-Bakri,, Ipoh 30300 Malaysia",http://www.sunyeongwai.com/,$$ - $$$,$$ - $$$ChineseAsianCantonese,+60 5-241 3771,"Chinese, Asian, Malaysian"
Sin Hup Kee Restaurant,4.0 ,"17 Jalan Leong Sin Nam, Ipoh 30300 Malaysia",http://www.facebook.com/SinHupKeeRestaurant/,$$ - $$$,$$ - $$$ChineseAsianCantonese,+60 5-242 3128,"Chinese, Asian, Malaysian"
Artisan Handmade Bread,4.5 ,"27 Jalan Market, Ipoh Malaysia",https://www.facebook.com/artisanbreadipoh/,$$ - $$$,$$ - $$$BakeriesCafeVegetarian Friendly,+60 5-255 2727,"Vegetarian Friendly, Vegan Options"
Concubine Lane Tau Fu Fa,4.0 ,"8 Lorong Panglima 30000 Ipoh, Ipoh 30000 Malaysia",http://www.facebook.com/concubinelanetff/,$,$Quick BitesChineseAsian,+60 12-527 1028,Lunch
Big Mom Beancurd,4.5 ,"22-24, Jalan Yang Kalsom, Taman Jubilee, Ipoh 30250 Malaysia",https://big-mom-beancurd.business.site/,$,$DessertChineseAsian,+60 16-533 3210,Vegetarian Friendly
Sun Yeong Wai,4.5 ,"No. 17 & 19, Bwh. Jalan Sri Ampang, Ipoh 31350 Malaysia",http://www.sunyeongwai.com/,$$ - $$$,$$ - $$$ChineseAsianMalaysian,+60 5-311 3600,"Asian, Chinese, Malaysian"
Nasi Vanggey,4.0 ,"2 Jalan Yang Kalsom Greentown Business Centre, Ipoh 30300 Malaysia",http://www.facebook.com/nasivanggey/,$,$IndianAsianMalaysian,+60 5-254 4314,Halal
Girlie's Cafe,5.0 ,"26 Jalan Market, Ipoh 30000 Malaysia",http://www.facebook.com/GirliesCafe,$$ - $$$,$$ - $$$CafeInternationalFusion,+60 16-550 4451,"Cafe, International, Fusion"
Citrus Wine & Dine,4.5 ,"No. 38-46 Laluan Ipoh Perdana, Ipoh 31400 Malaysia",http://www.facebook.com/Citrus.Wine.and.Dine,$$ - $$$,$$ - $$$ItalianFrenchEuropean,+60 5-545 1010,"European, Italian, French"
J J Cakes and Swiss Rolls,4.0 ,"127 Jalan Bharu 30250 Ipoh, Ipoh 31650 Malaysia",http://www.jj-cakes.com/,$$ - $$$,$$ - $$$Bakeries,+60 5-254 5796,
Foh San,3.5 ,"Ipoh, Malaysia 51 Jalan Leong Sin Nam, Ipoh 30300 Malaysia",,$$ - $$$,$$ - $$$ChineseAsianCantonese,+60 5-254 0308,"Breakfast, Lunch, Brunch"
Canning Dim Sum,4.5 ,"1 Lebuh Cecil Rae Taman Canning, Ipoh 31400 Malaysia",https://www.facebook.com/canningdimsumipoh/,$$ - $$$,$$ - $$$ChineseAsianCantonese,6055415556,Halal
Kedai Minuman Woong Kee,4.5 ,"Jalan Ali Pitchay 32-38a, Ipoh 30250 Malaysia",https://www.facebook.com/wkbeancurd/,$,$DessertCafeFast food,+60 16-533 3210,Takeout
V Nam Kitchen,4.0 ,"32 Jalan Seenivasagam, Ipoh 31200 Malaysia",http://www.facebook.com/vnamkitchen/,$$ - $$$,$$ - $$$AsianVietnameseVegetarian Friendly,+60 5-210 2522,Vegetarian Friendly
Chang Jiang White Coffee,4.0 ,"7 Jalan Winsor, Ipoh Malaysia",https://www.facebook.com/ipohchangjiangwhitecoffee/?hc_ref=PAGES_TIMELINE,$,$ChineseCafeAsian,+60 5-253 8896,"Breakfast, Lunch, Brunch"
