Name,Rating,Address,URL,Price,Type,Phone,Cousine
Flowers in the Window,4.0 ,"9 Jalan Dhoby, Johor Bahru 80000 Malaysia",,$$ - $$$,$$ - $$$CafeVegetarian FriendlyVegan Options,+60 7-222 7489,"Vegetarian Friendly, Vegan Options"
D'Laksa - Original Penang Laksa,4.5 ,"No. 33. Jalan Seladang Lot No.S20, Lower Ground Floor, KSL City, Taman Abad, Johor Bahru 80250 Malaysia",http://www.facebook.com/dlaksa2012,$,$Quick BitesAsianMalaysian,+60 1-700-81-9563,Halal
Wan Li Chinese Restaurant,4.0 ,"2 Jalan Permas 11, Bandar Baru Permas Jaya Renaissance Johor Bahru Hotel, Johor Bahru 81750 Malaysia",,$$ - $$$,$$ - $$$ChineseAsianContemporary,+60 7-381 3388,"Vegetarian Friendly, Vegan Options, Halal"
Jeju Korea Bbq Restaurant,4.0 ,"22 Jalan Indah 15/3 Taman Bukit Indah, Johor Bahru 81200 Malaysia",,$$ - $$$,$$ - $$$BarbecueAsianKorean,+60 11-1616 7025,"Lunch, Dinner"
Pizz,5.0 ,"Lot 1.02, First Floor, Citrine Hub, Sunway Iskandar, Johor Bahru Malaysia",http://www.facebook.com/pizza.pasta.burger.salad,$$ - $$$,$$ - $$$BarPizzaDiner,6075857114,
The Food Store,4.5 ,"No. 12 Jalan Ngee Heng Double Tree Hilton Hotel, Johor Bahru 80000 Malaysia",http://doubletree3.hilton.com/en/hotels/malaysia/doubletree-by-hilton-hotel-johor-bahru-JHBDTDI/index.html,$$ - $$$,$$ - $$$AmericanCafeAsian,+60 7-268 6868,Vegan Options
Restaurant Ya Wang,4.0 ,"No. 28 Jalan Segget, Johor Bahru 80000 Malaysia",http://www.facebook.com/pages/%E9%B8%AD%E7%9A%87%E8%8D%AF%E6%9D%90%E7%83%A7%E8%85%8A%E5%A4%A7%E7%8E%8B-Restaurant-Ya-Wang-JB/307375362611534,$$ - $$$,$$ - $$$ChineseAsianCantonese,+60 7-224 8624,"Lunch, Brunch"
Grill Bar,4.0 ,"No. 202 Jalan Sri Pelangi Taman Pelangi, Johor Bahru 80400 Malaysia",http://www.facebook.com/grillbarsteak,$$ - $$$,$$ - $$$AmericanSteakhouse,+60 7-333 3400,"Lunch, Dinner, After-hours"
W.W. Laksa House,4.0 ,"36A Jalan a Taman Water Works, Johor Bahru 80100 Malaysia",,$,$AsianMalaysian,,"Breakfast, Lunch, Brunch"
Yi Jia Seafood Restaurant (Bukit Indah),4.0 ,"No. 21-23 Jalan Indah 25/1 Nusajaya, Johor Bahru 81200 Malaysia",http://www.yijiaseafood.com/,$$ - $$$,$$ - $$$Chinese,+60 7-232 7137,Chinese
Restoran Hua Mui,3.5 ,"131 Jalan Dhoby, Johor Bahru 80000 Malaysia",http://www.huamui.com/,$$ - $$$,$$ - $$$ChineseCafeAsian,6072247364,Halal
Meng Meng Roasted Duck,4.0 ,"82 Jln Sutera Tanjung 8/4, Johor Bahru Malaysia",,$$ - $$$,$$ - $$$ChineseAsianMalaysian,+60 7-276 9822,"Lunch, Dinner"
SkyBar Bar & Restaurant,4.0 ,"Persiaran Puteri Selatan, Puteri Harbour Block 3, Level 4, Hotel Jen Puteri Harbour, Johor Bahru 79000 Malaysia",http://www.hoteljen.com/johor/puteriharbour/taste/bars/skybar-restaurant/,$$ - $$$,$$ - $$$Bar,+60 7-560 8918,"Dinner, After-hours, Drinks"
The Grand Gem - Johor Bahru,4.0 ,"Jalan Bukit Meldrum 9R, Jalan Bukit Meldrum, Johor Bahru 80300 Malaysia",,$$ - $$$,$$ - $$$IndianAsianFusion,+60 7-221 0717,"Indian, Asian, Fusion"
Nijyumaru Japanese Restaurant,4.0 ,"24 Jalan Permas 10/5 Bandar Bahru Permas Jaya, Johor Bahru 81750 Malaysia",http://www.facebook.com/Nijyumaru-Japanese-Restaurant-180096788681935/,$$ - $$$,$$ - $$$JapaneseVegetarian Friendly,6075589818,Vegetarian Friendly
Tepian Tebrau,4.0 ,"Jalan a Selat Johor Area, Johor Bahru 80000 Malaysia",,$,$SeafoodAsianMalaysian,,Halal
Restoran Kin Hua,4.0 ,"Jalan Tan Hiok Nee, Johor Bahru 80000 Malaysia",,$,$ChineseAsianMalaysian,,"Breakfast, Lunch, Brunch"
The Ice-Cream Project,4.0 ,"31 Jalan Dhoby, Johor Bahru 80000 Malaysia",http://www.facebook.com/tipdonttilt,$$ - $$$,$$ - $$$Dessert,+60 7-207 2021,Drinks
IT Roo Cafe,3.5 ,"Jalan Dhoby, Johor Bahru 80000 Malaysia",http://www.facebook.com/pages/IT-Roo-Cafe/110448715692248,$$ - $$$,$$ - $$$CafeAsianMalaysian,+60 7-222 7780,Halal
Sushi Zento Mount Austin,4.5 ,"1 Jalan Mutiara Austin, Johor Bahru 81100 Malaysia",http://www.edoichigroup.com/,$$ - $$$,$$ - $$$JapaneseSushiAsian,+60 7-363 0061,"Lunch, Dinner, Brunch"
Restoran Pekin,4.0 ,"No. 38 Jalan Baldu 5, Johor Bahru 80150 Malaysia",http://www.pekin.com.my/,$$ - $$$,$$ - $$$ChineseSeafoodAsian,607-333 2928,"Lunch, Dinner"
K Fry Urban Korean Holiday Villa Johor Bahru,4.0 ,"260, Jalan Dato Sulaiman, Taman Abad, Johor Bahru 80250 Malaysia",http://kfry.my/,$$ - $$$,$$ - $$$AsianKorean,+60 7-266 0902,"Lunch, Dinner, Drinks"
