Name,Rating,Address,URL,Price,Type,Phone,Cousine,Meals
Blitz X Colony @ KLCC,5.0 ,"6 Jalan Kia Peng Colony Coworking Space - KLCC, Kuala Lumpur 50450 Malaysia",,$$ - $$$,$$ - $$$FrenchJapaneseCafe,+60 16-842 6778,"French, Japanese, Cafe, International, Malaysian","Breakfast, Lunch, Brunch, Drinks"
Paya Serai,4.5 ,"No 2 Jalan barat Hilton Petaling Jaya, Petaling Jaya 46200 Malaysia",http://eatdrinkhilton.com/paya-serai/#/,$$ - $$$,$$ - $$$InternationalAsianMalaysian,+60 3-7955 3533,"International, Asian, Malaysian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
The Lounge,5.0 ,"Jalan Stesen Sentral, Kuala Lumpur 50470 Malaysia",http://eatdrinkhilton.com/the-lounge-hiltonkl/#/,$$ - $$$,$$ - $$$InternationalAsianMalaysian,+60 3-2264 2264,"International, Asian, Malaysian","Lunch, Dinner, Breakfast, Drinks"
Nero Nero,4.5 ,"L3-02 Jalan Damanlela Damansara, Kuala Lumpur 50490 Malaysia",http://www.neronero-dc3.com/,$$ - $$$,$$ - $$$ItalianEuropeanVegetarian Friendly,+60 19-667 4546,"Italian, European","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Bottega Lounge,5.0 ,"Equatorial Plaza, Jalan Sultan Ismail Ground Floor, Kuala Lumpur 50250 Malaysia",http://www.eqkualalumpur.equatorial.com/dining/bottega/,$$ - $$$,$$ - $$$BarWine Bar,+60 3-2789 7777,"Bar, Wine Bar","Lunch, Dinner, Drinks"
The Whisky Bar,4.5 ,"46 Changkat Bukit Bintang Bukit Bintang, Kuala Lumpur 50200 Malaysia",http://www.thewhiskybarkl.com/,$$ - $$$,$$ - $$$BarEuropeanVegetarian Friendly,+60 12-735 6709,"Vegetarian Friendly, Gluten Free Options","Dinner, Drinks"
The Grand Getaway by Grand Hyatt Kuala Lumpur,5.0 ,"12, Jalan Pinang, Kuala Lumpur 50450 Malaysia",http://thegrandgetaway.com.my/,$$$$,$$$$Vegetarian FriendlyGluten Free Options,+60 3-2182 1234,"Vegetarian Friendly, Gluten Free Options","Lunch, Dinner, Drinks"
The Dark Horse - Bar & Grill,5.0 ,"Lot G-05, Ground Floor, Life Centre 20 Jalan Sultan Ismail, Kuala Lumpur 50250 Malaysia",http://www.darkhorse.my/,$$ - $$$,$$ - $$$SteakhouseBarEuropean,+60 19-333 9269,,
Beta KL,5.0 ,"No. 10 Jalan Perak Ground Floor, Cormar Suites, Kuala Lumpur 50450 Malaysia",http://www.betakl.com/,$$$$,$$$$AsianMalaysianVegetarian Friendly,+60 19-212 1094,,
Beta KL,,,,,,,,
Skillet KL,4.5 ,"No. 10 Jalan Perak Ground Floor, Cormar Suites, Kuala Lumpur 50450 Malaysia",http://www.skilletkl.com/,$$$$,$$$$EuropeanAsianVegetarian Friendly,+60 19-212 1240,"European, Asian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
"YEN, W Kuala Lumpur",5.0 ,"121 Jalan Ampang Level 11, W Kuala Lumpur, Kuala Lumpur 50450 Malaysia",https://www.marriott.com/en-us/hotels/kulwh-w-kuala-lumpur/dining/,$$$$,$$$$ChineseAsianCantonese,+60 12-347 9088,"Chinese, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options"
"YEN, W Kuala Lumpur",,,,,,,"Chinese, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Nadodi KL,5.0 ,"1st Floor, Lot 183 Jalan Yap Kwan Seng, Kuala Lumpur 50450 Malaysia",http://www.nadodikl.com/,$$$$,$$$$IndianAsianVegetarian Friendly,+60 17-296 9520,"Indian, Asian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
Nadodi KL,,,,,,,,
The Lounge at Four Seasons,4.5 ,"145 Jalan Ampang Four Seasons Hotel Kuala Lumpur, Kuala Lumpur 50450 Malaysia",http://www.fourseasons.com/kualalumpur/dining/lounges/lobby-lounge/,$$$$,$$$$International,+60 3-2382 8650,"Breakfast, Lunch, Dinner, Drinks","Takeout, Reservations, Seating, Parking Available, Validated Parking, Valet Parking, Highchairs Available, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, Wine and Beer, Non-smoking restaurants"
Rooftop 25 Bar and Lounge KL,4.5 ,"452 Jalan Tuanku Abdul Rahman Level 25 of Hilton Garden Inn KL South, Kuala Lumpur 50100 Malaysia",http://www.eatdrinkhilton.com/rooftop-25-bar-lounge/,$$ - $$$,$$ - $$$AsianMalaysianDining bars,+60 3-2771 6888,"Asian, Malaysian, Dining bars",Vegetarian Friendly
Healy Mac's,4.5 ,"No. 38 Changkat Bukit Bintang, Kuala Lumpur 50200 Malaysia",http://www.healymacs.com/index.php,$$ - $$$,$$ - $$$IrishBarEuropean,+60 3-2145 1778,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch"
Horizon Grill,4.5 ,"2 Jalan Conlay Banyan Tree Hotel & reseidence, Kuala Lumpur 50450 Malaysia",http://www.banyantree.com/en/malaysia/kuala-lumpur/dining/horizon-grill,$$$$,$$$$InternationalEuropeanGrill,+60 3-2113 1821,"European, International, Grill",Gluten Free Options
Tokyo Secret,4.5 ,"1 Lingkaran Syed Putra Lot F001, First Floor Midvalley Megamall, Mid Valley City, Kuala Lumpur 58000 Malaysia",,$$ - $$$,$$ - $$$BakeriesCafeEuropean,+60 3-2201 3342,"Seating, Accepts Credit Cards, Table Service",
Mandarin Grill,4.5 ,"Kuala Lumpur City Centre, Kuala Lumpur 50088 Malaysia",https://www.mandarinoriental.com/en/kuala-lumpur/petronas-towers/dine/mandarin-grill?src=loc.local_listing.mokul.yxt,$$$$,$$$$ItalianSteakhouseGrill,+60 3-2380-8888,,
OGA Tea & Dining,4.5 ,"18, Jalan Kamuning Off Jalan Imbi, Kuala Lumpur 55100 Malaysia",https://linktr.ee/oga.my,$$$$,$$$$JapaneseCafeHealthy,+60 12-238 2285,"Japanese, Japanese Fusion, Cafe, Healthy, Kyoto cuisine","Breakfast, Lunch, Dinner, Brunch, After-hours"
Makan Kitchen,4.5 ,"The Intermark, 348 Jalan Tun Razak, The Intermark, 348 Jalan Tun Razak,, Kuala Lumpur 50400 Malaysia",,$$ - $$$,$$ - $$$ChineseHealthyMalaysian,+60 3-2172 7272,"Chinese, Healthy, Malaysian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
The Living Room,4.5 ,"199 Jalan Bukit Bintang The Westin Hotel, Kuala Lumpur 55100 Malaysia",http://www.thewestinkualalumpur.com/thelivingroom,$$ - $$$,$$ - $$$InternationalAsianMalaysian,+60 3-2773 8495,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch, Drinks"
Zenzero Restaurant & Wine Bar,4.5 ,"A-0-9, Ground Floor, St Mary Place, No. 1, Jalan Tengah Off Jalan P. Ramlee, Kuala Lumpur 50450 Malaysia",http://www.zenzerogroup.com/,$$$$,$$$$ItalianEuropeanVegetarian Friendly,+60 3-2022 2899,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch"
Le Petit Chef - Kuala Lumpur,4.5 ,"12 Jalan Pinang Grand Hyatt Kuala Lumpur, Kuala Lumpur 50450 Malaysia",http://www.lepetitchef.com/kuala-lumpur,$$$$,$$$$FrenchChineseIndian,+60 3-2182 1234,,
Iki Omakase,5.0 ,"16, Jalan Kamuning, Off Jalan Imbi, Kuala Lumpur 55100 Malaysia",http://ikiomakase.com/,$$$$,$$$$JapaneseSeafoodJapanese Fusion,+60 12-885 5184,"Lunch, Dinner, Brunch, Drinks","Reservations, Seating, Serves Alcohol, Table Service, Private Dining, Parking Available, Valet Parking, Free off-street parking, Wheelchair Accessible, Wine and Beer, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Cards"
Manja,4.5 ,"No. 6 Lorong Raja Chulan, Kuala Lumpur 50250 Malaysia",http://manja.com.my/,$$ - $$$,$$ - $$$ContemporaryCentral AsianVegetarian Friendly,+60 12-373 7063,,
Blitz X Colony @ KLCC,5.0 ,"6 Jalan Kia Peng Colony Coworking Space - KLCC, Kuala Lumpur 50450 Malaysia",http://blitzandco.com/,$$ - $$$,$$ - $$$FrenchJapaneseCafe,+60 16-842 6778,"French, Japanese, Cafe, International, Malaysian","Breakfast, Lunch, Brunch, Drinks"
Burger on 16,4.5 ,"16 Jalan 1/77a Imbi, Kuala Lumpur 55100 Malaysia",http://www.facebook.com/BURGERon16/,$,$Quick BitesAmericanFast food,+60 3-9224 2117,"American, Australian, Fast food","Vegetarian Friendly, Vegan Options, Halal"
Pier 12 Seafood Tavern,4.5 ,"Old Malaya Lot 12 No. 66-68 Jalan Raja Chulan Old Malaya, Kuala Lumpur 50200 Malaysia",,$$ - $$$,$$ - $$$SeafoodInternationalGrill,+60 17-245 4685,,
Old Shanghai,4.5 ,"50 Changkat Bukit Bintang, Kuala Lumpur 50200 Malaysia",https://oldshanghaikl.com/,$$ - $$$,$$ - $$$ChineseBarAsian,+60 12-526 1335,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Drinks"
Healy Mac's,4.5 ,"Jalan P Ramlee Crown Regency, No.12 Ground Floor, Kuala Lumpur 50250 Malaysia",,$$ - $$$,$$ - $$$IrishBarInternational,+60 3-2166 9778,"Irish, Bar, European, Pub, International","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Healy Mac's Irish Bar and Restaurant,4.5 ,"A4-G2-06-07 Solaris Dutamus, No. 1, Jalan Dutamas 1, Kuala Lumpur Malaysia",http://www.healymacs.com/,$$ - $$$,$$ - $$$IrishBarEuropean,+60 3-6203 1218,"Irish, Bar, European, Pub","Vegetarian Friendly, Vegan Options, Gluten Free Options"
El Cerdo,4.5 ,"43 & 45 Changkat Bukit Bintang, Kuala Lumpur 50200 Malaysia",http://www.elcerdokl.com/,$$ - $$$,$$ - $$$EuropeanSpanishGluten Free Options,+60 3-2145 0511,Gluten Free Options,"Lunch, Dinner, Brunch, Drinks"
Malai Thai Cuisine,4.5 ,"6 Jalan P Ramlee Menara Amplewest, Kuala Lumpur 50250 Malaysia",https://www.malaithai.restaurant/,$$ - $$$,$$ - $$$AsianThaiVegetarian Friendly,+60 3-2181 2505,"Asian, Thai","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Yun House,4.5 ,"145 Jalan Ampang Four Seasons Hotel, Kuala Lumpur 50450 Malaysia",http://www.fourseasons.com/kualalumpur/dining/restaurants/yun-house/,$$$$,$$$$ChineseSeafoodCantonese,+60 3-2382 8640,"Chinese, Seafood","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Vin's Restaurant and Bar,4.5 ,"No 6 Lorong Datuk Taman Tun Dr. Ismail, Kuala Lumpur 60000 Malaysia",http://www.vinsrestaurant.com/,$$ - $$$,$$ - $$$BarInternationalVegetarian Friendly,+60 12-200 2119,"Bar, International","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
Nook,4.5 ,"No 5 Jalan Stesen Sentral Aloft Kuala Lumpur Sentral, Kuala Lumpur 50470 Malaysia",http://www.aloftkualalumpursentral.com/en/nook,$$ - $$$,$$ - $$$InternationalAsianHealthy,+60 3-2723 1154,"Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch"
The Steakhouse KL,4.5 ,"44 Changkat Bukit Bintang, Kuala Lumpur 50200 Malaysia",http://steakhousekl.com/,$$ - $$$,$$ - $$$SteakhouseGluten Free Options,+60 12-735 6709,Gluten Free Options,"Dinner, Drinks"
Mai Bar,4.5 ,"No 5 Jalan Stesen Sentral Aloft Kuala Lumpur Sentral, Kuala Lumpur 50470 Malaysia",http://www.aloftkualalumpursentral.com/en/mai-bar,$$ - $$$,$$ - $$$BarPizzaWine Bar,+60 3-2723 1133,"Bar, Pizza, Wine Bar","Vegetarian Friendly, Gluten Free Options"
Quivo Pavilion,4.5 ,"Lot 3. 09. 02, Level 3, Pavilion 168, Jalan Bukit Bintang,, Kuala Lumpur 55100 Malaysia",http://quivo.my/,$$ - $$$,$$ - $$$ItalianBarPizza,+60 3-2141 7711,,
LUCE Osteria Contemporanea,4.5 ,"Old Malaya Lorong Raja Chulan No. 10, Old Malaya, Kuala Lumpur 50250 Malaysia",http://www.luceosteria.com/,$$ - $$$,$$ - $$$ItalianPizzaMediterranean,+60 3-2078 8008,"Italian, Pizza, Mediterranean, European, Healthy, Neapolitan, Campania, Southern-Italian","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Toh Yuen Chinese Restaurant,4.5 ,"No 2 Jalan barat Hilton Petaling Jaya, Petaling Jaya 46200 Malaysia",http://eatdrinkhilton.com/toh-yuen-hiltonpj/#/,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 3-7955 9122,"Chinese, Seafood, Asian","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
Aliyaa Island Restaurant & Bar,4.5 ,"48 G Jalan Medan Setia 2 Plaza Damasara, Bukit Damansara, Kuala Lumpur 50490 Malaysia",http://www.aliyaa.com/,$$ - $$$,$$ - $$$SeafoodAsianSri Lankan,+60 3-2092 5378,"Seafood, Asian, Sri Lankan","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
