Name,Rating,Address,URL,Price,Type,Phone,Cousine
Mother India Restaurant,4.5 ,"Jalan Tun Fuad Stephen Oceanus Waterfront Mall, Kota Kinabalu 88000 Malaysia",,$$ - $$$,$$ - $$$IndianVegetarian FriendlyVegan Options,+60 12-480 9089,Indian
Ferdinand's,4.5 ,"1 Sutera Harbour Boulevard Level 2, The Magellan Sutera Resort, Kota Kinabalu 88300 Malaysia",http://www.suteraharbour.com/magellan-sutera-resort/dining/ferdinands,$$$$,$$$$ItalianEuropeanVegetarian Friendly,+60 17-833 0711,"Vegetarian Friendly, Vegan Options, Gluten Free Options"
Brass Monkey Cafe & Bar,4.5 ,"No. Lot 1-0, Lorong Lintas Plaza 4, Kota Kinabalu 88300 Malaysia",https://www.facebook.com/Brass-Monkey-Cafe-Bar-Kota-Kinabalu-Sabah-Malaysia--170993794700/,$$ - $$$,$$ - $$$SteakhouseBarEuropean,+60 12-841 9601,
El Centro,4.5 ,"18 Lorong Dewan, Australia Place Jalan Haji Saman, Ground Floor, Lot 32, Kota Kinabalu 88400 Malaysia",http://www.facebook.com/el.centro.73,$$ - $$$,$$ - $$$MexicanBarInternational,+60 14-862 3877,
Chilli Vanilla,4.5 ,"35 Jalan Haji Saman, Kota Kinabalu 88000 Malaysia",http://www.facebook.com/chillivanilla.kinabalu,$$ - $$$,$$ - $$$InternationalMediterraneanEuropean,+60 88-238 098,"Mediterranean, European, Hungarian, International"
Sunset Bar,4.5 ,"No. 20 Jalan Aru Shangri-la's Tanjung Aru Resort, Kota Kinabalu 88100 Malaysia",http://www.shangri-la.com/kotakinabalu/tanjungaruresort/dining/bars-lounges/sunset-bar/,$$ - $$$,$$ - $$$BarGrillMalaysian,+60 88-327 888,
Nook Cafe,4.5 ,"19 Jalan Dewan, Kota Kinabalu 88000 Malaysia",http://www.facebook.com/Nook-Cafe-Kota-Kinabalu-856345747798098/,$$ - $$$,$$ - $$$Quick BitesCafeVegetarian Friendly,+60 12-866 3900,Cafe
Urban Kitchen,4.5 ,"Jalan Tunku Abdul Rahman, Asia City, Kota Kinabalu 88000 Malaysia",,$$ - $$$,$$ - $$$AmericanInternationalAsian,+60 88-356 000,"International, American, Asian, Malaysian"
Little Italy @ Capital,4.0 ,"Jalan Haji Saman Kota Kinabalu Lama, Kota Kinabalu 88800 Malaysia",http://www.facebook.com/pages/Little-Italy/165542746813999,$$ - $$$,$$ - $$$ItalianPizzaEuropean,+60 88-232 231,"Italian, Pizza, European"
Kedai Kopi Yee Fung,4.0 ,"127 Gaya Street, Kota Kinabalu 88000 Malaysia",,$,$ChineseAsianMalaysian,+60 88-312 042,"Breakfast, Lunch, Brunch"
October Coffee House,4.5 ,"Australia Lane Jalan Gaya 13, Lorong Dewan, Kota Kinabalu 88000 Malaysia",http://www.facebook.com/OctoberCoffeeGaya,$$ - $$$,$$ - $$$Quick BitesCafeVegetarian Friendly,+60 88-277 396,Cafe
Kozan Teppan-yaki,4.5 ,"Pantai Dalit Beach Below the Main Lobby, Garden Wing Level 1, Shangri-La's Rasa Ria Resort & Spa, Kota Kinabalu 89208 Malaysia",http://www.shangri-la.com/kotakinabalu/rasariaresort/dining/restaurants/kozan-teppan-yaki/,$$ - $$$,$$ - $$$JapaneseAsianVegetarian Friendly,+60 88-797 888,"Vegetarian Friendly, Gluten Free Options"
Gusto Food & Wine,4.5 ,"Jalan Tun Fuad Stephens Lot 17, KK Waterfront, Kota Kinabalu 88000 Malaysia",,$$ - $$$,$$ - $$$ItalianPizzaSicilian,+60 16-824 1829,"Italian, Pizza, Sicilian, Southern-Italian"
Welcome Seafood Restaurant,4.0 ,"G15-18, G/F, Komplek Asia City Phase 2A, Jalan Asia City, Kota Kinabalu 88300 Malaysia",,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 11-3162 3812,"Lunch, Dinner, After-hours"
Suang Tain Seafood Restaurant,4.0 ,"Kampung Air No. 16, Block D, Ground Floor, Sedco Complex, Kota Kinabalu 88300 Malaysia",http://www.suangtainseafoodrestaurant.com/,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 88-223 080,"Chinese, Seafood, Asian, Malaysian"
Rooftop Bar & Grill,4.5 ,"Jalan Tunku Abdul Rahman, Kota Kinabalu 88000 Malaysia",,$$ - $$$,$$ - $$$BarInternationalGrill,+60 88-356 000,"International, Grill, Bar"
Borenos Fried Chicken (Asia City),4.5 ,"Jalan Asia City Lot G23, Ground Floor, Kompleks Asia City, Kota Kinabalu 88000 Malaysia",,$,$Quick BitesAmericanFast food,+60 12-878 3109,Halal
Yuit Cheong,4.5 ,"50 Jalan Pantai, Kota Kinabalu Malaysia",,$,$AsianMalaysian,+60 88-252 744,"Breakfast, Lunch, Brunch"
Kalamatas Resto Ba',4.5 ,"Jalan Api-Api Unit 2-0-19 , Api Api Centre, Kota Kinabalu 88000 Malaysia",http://facebook.com/KALAMATASRESTOBA,$$ - $$$,$$ - $$$ChineseAmericanIndian,+60 88-252 605,"Chinese, American, Indian, Philippine, Asian, Malaysian, Bar"
Al Fresco,4.0 ,"Level 1 The Magellan Sutera Resort 1 Sutera Harbour Boulevard, Sutera Harbour, Kota Kinabalu 88000 Malaysia",http://www.suteraharbour.com/,$$ - $$$,$$ - $$$PizzaMediterraneanEuropean,6088308431,"Vegetarian Friendly, Gluten Free Options"
Biru Biru Cafe & Bar,4.5 ,"24 Lorong Dewan, Australia Lane Opposite ATI College, Kota Kinabalu 88000 Malaysia",http://www.facebook.com/birubirucafe/,$$ - $$$,$$ - $$$BarCafeFusion,+60 19-790 3810,"Bar, Cafe, Fusion"
Restoran Sri Melaka,4.0 ,"9 Jalan Laiman Diki, Kota Kinabalu 88000 Malaysia",,$$ - $$$,$$ - $$$Nonya/MalaysianMalaysianVegetarian Friendly,+60 88-224 777,"Vegetarian Friendly, Vegan Options, Halal"
Sri Latha Curry House,4.0 ,"Bandar Berjaya No. 28 Jalan Berjaya, Kota Kinabalu 88000 Malaysia",,$,$IndianAsianVegetarian Friendly,253669,"Vegetarian Friendly, Vegan Options, Halal"
Yu Kee Bak Kut Teh,4.0 ,"74 Jalan Gaya, Kota Kinabalu 88000 Malaysia",http://www.facebook.com/YuKeeBahKutTeh/,$,$ChineseAsianSoups,+60 88-221 192,"Dinner, After-hours"
Kohinoor,4.0 ,"Jalan Tun Fuad Stephen Lot 4 Waterfront Esplanade, Kota Kinabalu 88000 Malaysia",https://www.facebook.com/Kohinoor-Waterfront-1403520063276736/,$$ - $$$,$$ - $$$IndianAsianVegetarian Friendly,+60 88-235 160,"Vegetarian Friendly, Vegan Options, Gluten Free Options"
Irish Shamrock Bar & Restaurant,4.0 ,"Lot 6,Anjung Samudra 13046,Kota Kinabalu 88833, Kota Kinabalu Malaysia",http://www.facebook.com/ShamrockWaterfrontKK,$$ - $$$,$$ - $$$IrishBarEuropean,+60 88-249 829,"Lunch, Dinner, After-hours, Drinks"
Fatty Kee,4.0 ,"8 Lorong Bakau Jalan Pantai, Angs Hotel, Kota Kinabalu Malaysia",http://sabahbah.com/kota-kinabalu-restaurants/chinese/angs-hotel-restaurant/95/angs-hotel-restaurant-fatt-kee-coffee-shop,$,$ChineseAsianMalaysian,,"Dinner, After-hours"
Favola Restaurant,4.5 ,"Jalan Tun Fuad Stephens, Kota Kinabalu 88000 Malaysia",http://www.lemeridienkotakinabalu.com/,$$$$,$$$$ItalianInternationalVegetarian Friendly,+60 88-322 222,"Italian, International"
Mai Yai Thai Orchid Restaurant,4.0 ,"Tun Fuad Stephens Street Lot 13 The Waterfront, Kota Kinabalu 88450 Malaysia",http://www.facebook.com/Mai-Yai-Thai-Orchid-Restaurant-125428254186806,$$ - $$$,$$ - $$$ThaiVegetarian Friendly,+60 17-816 1995,Vegetarian Friendly
SOULed OUT Kota Kinabalu,4.0 ,"G-101-78, Ground Floor, Imago Mall, Kota Kinabalu Malaysia",http://kk.souledout.com.my/,$$ - $$$,$$ - $$$BarEuropeanAsian,+60 16-839 1338,"Lunch, Dinner, Brunch"
