Name,Rating,Address,URL,Price,Type,Phone,Cousines,Meal
Straits & Co at The Danna,4.5 ,"Telaga Harbour Park The Danna Langkawi, Pantai Kok, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$CafeDeliVegetarian Friendly,+60 4-959 3288,,
The Fat Frog,4.5 ,"99 East Estate Jalan 99 East Golf Club Estate, Kuah, Langkawi 07000 Malaysia",,$$ - $$$,$$ - $$$ItalianAsianHealthy,+60 17-333 1517,,
Cactus Restaurant,4.5 ,"Lecco Spa Lot 1698, Langkawi 07000 Malaysia",,$,$ChineseSeafoodAsian,+60 12-482 8140,,
The Pavilion,4.5 ,"Jalan Teluk Datai, Langkawi 07000 Malaysia",http://www.thedatai.com/dining/the-pavilion/,$$$$,$$$$AsianThaiVegetarian Friendly,+60 4-950 0500,,
Red Sky Restaurant and Bar,4.5 ,"No. 6 Casa Fina Avenue Jalan Teluk Baru, Pantai Tengah, Langkawi 07000 Malaysia",http://www.facebook.com/RedSkylgk/,$$ - $$$,$$ - $$$InternationalAsianMalaysian,+60 4-952 3641,,
Maroush,4.5 ,"1 Landcon, Langkawi 07000 Malaysia",http://www.dineatmaroush.com/,$$ - $$$,$$ - $$$IndianAsianMiddle Eastern,+60 12-487 8787,,
Planter's at The Danna,4.5 ,"Jalan Pantai Kok The Danna Langkawi, Pantai Kok, Langkawi 07000 Malaysia",http://www.thedanna.com/dining/planter-s,$$$$,$$$$InternationalAsianMalaysian,+60 4-959 3288,"Asian, Malaysian, International","Breakfast, Dinner"
Tide,4.5 ,"The Westin Langkawi Resort & Spa Jalan Dato Syed Omar, Langkawi 07000 Malaysia",http://www.tidelangkawi.com/,$$$$,$$$$Vegetarian FriendlyVegan OptionsHalal,6049608888,"Lunch, Dinner, Drinks",
Hadramawt Express Restaurant,4.5 ,"Pantai Cenang Melati Tanjung, Langkawi 07000 Malaysia",,$,$HealthyMiddle EasternArabic,+60 17-332 0450,"Healthy, Middle Eastern, Arabic","Lunch, Dinner, Breakfast, Brunch, After-hours, Drinks"
Pegaga Langkawi Vegan Experience,5.0 ,"Ambong-Ambong Rainforest Retreat Jalan Teluk Baru, Pantai Tengah, Langkawi 07000 Malaysia",http://www.ambong-ambong.com/#dining,$$ - $$$,$$ - $$$CafeAsianFusion,+60 4-955 8428,"Cafe, Fusion, Malaysian, Asian","Breakfast, Lunch, Dinner, Brunch, Drinks"
