Name,Rating,Address,URL,Price,Type,Phone,Cousine,Meals
Nyonya Makko Restaurant,3.5 ,"No. 123, Melaka 75000 Malaysia",,$$ - $$$,$$ - $$$AsianNonya/MalaysianMalaysian,+60 6-284 0737,"Asian, Malaysian","Lunch, Dinner"
Nancy's Kitchen Restaurant,3.5 ,"13 13-1, 13-2, Jalan Kl 3/8 Taman Kota Laksamana, Seksyen 3,, Melaka 75200 Malaysia",http://www.facebook.com/Nancys-Kitchen-179319410162/timeline/,$$ - $$$,$$ - $$$AsianNonya/MalaysianMalaysian,+60 6-283 6099,"Asian, Malaysian","Lunch, Dinner"
eha fruit & vege bistro,4.5 ,"57 Lorong Hang Jebat 75200, Melaka 75200 Malaysia",http://www.facebook.com/ehajuicenveggiebistro,$$ - $$$,$$ - $$$DessertHealthyMalaysian,606-2818208,"Vegan Options, Vegetarian Friendly","Breakfast, Lunch, Dinner"
Locahouz,4.5 ,"No 8 Jalan Bukit Cina, Melaka 75100 Malaysia",http://www.facebook.com/Locahouz-588124554643920/timeline,$$ - $$$,$$ - $$$DessertChineseAmerican,+60 19-679 3993,"American, Cafe, Chinese, Fusion",Vegetarian Friendly
EeJiBan Chicken Rice Ball Halal,3.5 ,"275 Jalan Melaka Raya 3, Melaka 75000 Malaysia",http://www.facebook.com/EeJiBan-Chicken-Rice-Ball-Halal-94461985851,$$ - $$$,$$ - $$$ChineseAsianMalaysian,+60 16-216 5220,Halal,"Lunch, Dinner, Brunch"
Rock Bottom Malacca,4.5 ,"Jalan Persiaran Bunga Raya GF-09, The Shore Shopping Gallery, Melaka 75100 Malaysia",,$$ - $$$,$$ - $$$IndianBarPub,+60 12-673 5037,"Vegetarian Friendly, Vegan Options","Lunch, Dinner, Brunch"
Cottage Spices A Taste of Melaka,4.0 ,"171 Jalan Taman Melaka Raya, Melaka 75000 Malaysia",,$$ - $$$,$$ - $$$AsianNonya/Malaysian,+60 19-667 9797,Asian,"Lunch, Dinner"
Bei Zhan Restaurant,4.0 ,"43 Jalan Kota Laksamana 2, Melaka 75200 Malaysia",http://www.beizhan.com.my/,$$ - $$$,$$ - $$$ChineseAsianCantonese,+60 6-281 2684,"Vegetarian Friendly, Vegan Options","Lunch, Dinner"
The Coffee Jar,4.5 ,"No. 38 Lorong Hang Jebat, Melaka 75200 Malaysia",https://www.facebook.com/thecoffeejarmelaka/,$$ - $$$,$$ - $$$Cafe,+60 12-281 5100,Cafe,"Seating, Takeout"
Our Kitchen Nyonya Restaurant,4.5 ,"No 15, Jalan Hang Lekir, Melaka 75200 Malaysia",https://www.facebook.com/ourkitchen15/,$,$ChineseEuropeanAsian,+60 18-264 4185,"Chinese, European, Asian, Singaporean, Malaysian","Vegetarian Friendly, Vegan Options"
Limau Limau Cafe,5.0 ,"No. 9 Jalan Hang Lekiu, Melaka 75200 Malaysia",http://limaulimau.com/,$$ - $$$,$$ - $$$CafeEuropeanHealthy,+60 18-781 3760,"Cafe, Healthy, European","Vegetarian Friendly, Vegan Options"
Congee Rice Noodles Restaurant,4.5 ,"353 Jalan Melaka Raya 4 75000 Taman Melaka Raya, Melaka 75000 Malaysia",http://www.congeericenoodles.com/,$$ - $$$,$$ - $$$ChineseAsianCantonese,+60 6-286 3286,"Vegan Options, Vegetarian Friendly",Dinner
Restoran Aunty Lee,4.0 ,"385 Jalan Ujong Pasir Taman Sinn, Melaka 75050 Malaysia",http://www.auntylee.com.my/,$$ - $$$,$$ - $$$AsianNonya/MalaysianMalaysian,+60 6-283 1009,"Asian, Malaysian","Lunch, Dinner"
Monterios Portuguese Seafood Restaurant,4.5 ,"Lot 18C, Medan Portugis, Kampong Portugis, Portugis Square, Melaka 75050 Malaysia",http://www.facebook.com/MonteriosPortugueseSeafoodRestaurant,$$ - $$$,$$ - $$$SeafoodAsianFusion,+60 14-232 6769,"Seafood, Asian, Portuguese, Malaysian, Fusion",Gluten Free Options
Sirocco Restaurant,4.0 ,"Bandar Melaka, 75000 Jalan Syed Abdul Aziz Holiday Inn Melaka, Melaka 75000 Malaysia",http://www.melaka.holidayinn.com/,$$ - $$$,$$ - $$$ItalianPizzaEuropean,+60 6-285 9000,"Italian, European, Pizza",Vegetarian Friendly
Bernie's Pub,5.0 ,"No. 5 Jalan 24, Melaka 75460 Malaysia",,$,$BarPub,+60 16-604 6484,Drinks,"Serves Alcohol, Seating"
Sin See Tai,5.0 ,"18 Lorong Jambatan Kampung Jawa, Melaka 75100 Malaysia",,$$ - $$$,$$ - $$$CafeFusionHealthy,,"Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Brunch"
S Sihat Kafe,4.5 ,"55 Taman Sentosa,, Melaka 75150 Malaysia",,$,$IndianCafeFusion,+60 12-906 4822,"Indian, Healthy, Cafe, Fusion","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Busdriver.Cafe,5.0 ,"103 Lorong Hang Jebat, Melaka 75200 Malaysia",https://www.facebook.com/busdrivercafe-2143905369234927/,$,$BarPizzaInternational,+60 17-322 1511,"Bar, Pizza, International, Fusion","Dinner, After-hours, Drinks"
Low Yong Moh Restaurant,4.0 ,"32 Jalan Tukang Emas, Melaka 75200 Malaysia",http://www.facebook.com/pages/Low-Yong-Moh-Restaurant/167734796631094,$,$ChineseAsianCantonese,+60 6-282 1235,"Breakfast, Brunch","Takeout, Seating, Wheelchair Accessible, Table Service"
Patma's,5.0 ,"1-15, Jalan Bunga Raya, Kampung Jawa, Melaka 75100 Malaysia",,$,$AsianHealthyMalaysian,,"Breakfast, Lunch, Dinner","Seating, Table Service, Reservations"
Peranakan Place Jonker Street,4.0 ,"54, Jln Hang Jebat, Melaka 75200 Malaysia",http://www.peranakan.com.my/,$,$Quick BitesAsianMalaysian,+60 12-233 2816,"Asian, Malaysian","Lunch, Dinner"
Cat Walk Studio,5.0 ,"No.7, 7-1, Jalan TU 40, Taman Tasik Utama,, Ayer Keroh 75450 Malaysia",http://pdc.agency/web/cat/,$$ - $$$,$$ - $$$CafeAsianIndonesian,+60 17-635 7242,"Lunch, Dinner, Brunch","Accepts Credit Cards, Reservations, Table Service"
Amy Heritage Nyonya Cuisine,3.5 ,"75 Jalan Melaka Raya 24 Taman Melaka Raya, Melaka 75000 Malaysia",,$$ - $$$,$$ - $$$AsianNonya/MalaysianMalaysian,60 6 286 8819 ,Vegetarian Friendly,"Lunch, Dinner"
Ban Lee Siang,3.5 ,"45E Jalan Ong Kim Wee, Melaka Malaysia",http://www.facebook.com/banleesiangsataycelup/timeline,$,$ChineseAsianMalaysian,+60 12-651 5322,"Dinner, After-hours","Outdoor Seating, Seating, Table Service"
Shui Xian Su Shi Yuan Vegetarian Food,4.5 ,"Jalan Hang Lekiu, Melaka 75200 Malaysia",,$,$ChineseAsianMalaysian,+60 12-635 8052,"Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Brunch"
Daorae Korean BBQ Restaurant,4.0 ,"No. 100-A 100! Taman Melaka Raya Malacca, Melaka 75000 Malaysia",http://www.facebook.com/DaoraeMelaka/,$$ - $$$,$$ - $$$BarbecueAsianKorean,6062922616,"Lunch, Dinner","Reservations, Seating, Highchairs Available, Serves Alcohol, Table Service, Takeout"
Molten Chocolate Cafe,4.5 ,"105 Jalan Merdeka Taman Melaka Raya, Melaka Malaysia",,$$ - $$$,$$ - $$$DessertVegetarian Friendly,+60 6-292 1938,,
Eat at 18,4.5 ,"Jalan Hang Lekiu No 18, Melaka 75200 Malaysia",http://eat18.com/,$$ - $$$,$$ - $$$CafeVegetarian FriendlyVegan Options,+60 16-274 9686,"Vegetarian Friendly, Vegan Options","Breakfast, Brunch, Lunch"
Eggxtra,4.0 ,"Jalan Melaka Raya 15 No 32, Melaka 75000 Malaysia",http://emiliescookies.com/fr_FR/,$$ - $$$,$$ - $$$CafeVegetarian FriendlyVegan Options,+60 6-286 6366,"Vegetarian Friendly, Vegan Options","Breakfast, Lunch, Brunch, Dinner"
Dutch Harbour Cafe,3.5 ,"No. 14 A&B, Jalan Laksamana, Melaka 75100 Malaysia",http://www.dutchharbourmelaka.com/,$$ - $$$,$$ - $$$CafeAsianMalaysian,+60 6-288 2820,Halal,"Dinner, Brunch, Lunch, After-hours"
Noah Art Cafe,4.0 ,"25 Jalan Hang Lekiu, Melaka 75200 Malaysia",,$$ - $$$,$$ - $$$ItalianSouthwesternCafe,+60 6-288 2820,"Italian, Southwestern, Asian, Malaysian, Cafe","Halal, Vegetarian Friendly, Vegan Options"
Kneading Peace,5.0 ,"37 Jalan Hang Lekiu, Melaka 75200 Malaysia",,$,$FrenchGermanSwiss,+60 17-223 5339,"Cafe, French, German, Swiss, European","Dinner, Drinks"
Sun May Hiong Satay House,3.5 ,"Jalan Kota Laksamana 1/1 Taman Kota Laksamana, Melaka 75200 Malaysia",,$$ - $$$,$$ - $$$ChineseAsianMalaysian,+60 6-281 7281,Lunch,"Takeout, Seating, Wheelchair Accessible"
Teo Chew Bak Kut Teh,4.0 ,"Jalan Melaka Raya 4 Taman Perindustrian Merdeka, Batu Berendam,, Melaka 75000 Malaysia",,$$ - $$$,$$ - $$$ChineseAsianSoups,+60 12-631 6300,"Lunch, Brunch, Breakfast","Takeout, Seating, Table Service"
Chop Tiang Bee Cafe and Restaurant,4.5 ,"no 16 Jalan Hang Kasturi, Melaka 75200 Malaysia",http://www.facebook.com/choptiangbee,$$ - $$$,$$ - $$$CafeAsianContemporary,+60 16-619 1818,"Asian, Malaysian, Cafe, Contemporary, Fusion","Lunch, Dinner, Brunch, Drinks"
Restoran Lee Swee Meng,4.5 ,"No.2 Ground Floor Jalan Melaka Raya 34, Melaka 75560 Malaysia",,$$ - $$$,$$ - $$$ChineseAsianMalaysian,+60 10-796 2628,"Lunch, Dinner","Takeout, Seating, Highchairs Available, Table Service"
Oriental Cottage Cafe,4.0 ,"96 Jalan Hang Jebat, Melaka Malaysia",http://www.facebook.com/1126orientalC,$$ - $$$,$$ - $$$BarCafeAsian,+60 6-292 9696,"Vegetarian Friendly, Vegan Options","Lunch, Dinner"
The Melting Pot,3.5 ,"No 64 Jalan Hang Jebat Jonker Street, Melaka 75200 Malaysia",http://www.facebook.com/TheMeltingPotMelaka,$$ - $$$,$$ - $$$Nonya/MalaysianMalaysianVegetarian Friendly,+60 6-288 2678,Vegetarian Friendly,"Lunch, Dinner"
Ola Lavanderia Café,4.5 ,"25 Jalan Tukang Besi, Melaka 75200 Malaysia",,$,$Cafe,+60 12-612 6665,"Breakfast, Lunch, Brunch","Free Wifi, Outdoor Seating, Seating, Wheelchair Accessible, Takeout"
Big Bowl Ice,4.0 ,"11 Jalan Kota Laksamana 1/2 Taman Kota Laksamana, Melaka 75200 Malaysia",,$,$DessertMalaysian,+60 6-281 7395,Malaysian,"Parking Available, Street Parking, Cash Only, Takeout, Reservations, Seating"
Bert's Garden Seafood,4.0 ,"Jalan Kampung Pinang Tanjung Kling, Melaka 76400 Malaysia",,$$ - $$$,$$ - $$$SeafoodInternationalBarbecue,+60 6-315 2213,"Dinner, After-hours","Takeout, Reservations, Outdoor Seating, Seating, Parking Available, Serves Alcohol, Table Service, Highchairs Available, Full Bar"
Pampas Sky Dining Steakhouse,4.0 ,"41st Floor, Tower 1, the Shore Tower 1, Level 41, Swiss Garden Residence, The Shore, Melaka 75100 Malaysia",,$$ - $$$,$$ - $$$SteakhouseBarGrill,+60 17-707 2731,"Steakhouse, Grill, Wine Bar, Bar","Dinner, After-hours, Drinks"
