Name,Rating,Address,URL,Price,Type,Phone,Cousine,Meals
Reggae Cafe Penang,5.0 ,"Lebuh Pantai 163, Lebuh Pantai, George Town, 10300 George Town, Pulau Pinang., George Town, Penang Island 10300 Malaysia",,$$ - $$$,$$ - $$$ItalianAsianMalaysian,+60 10-215 9928,"Italian, Malaysian, Asian","Breakfast, Lunch, Dinner, Brunch, After-hours, Drinks"
The Mugshot Cafe,4.5 ,"302 Chulia Street, George Town, Penang Island Malaysia",http://www.facebook.com/pages/The-Mugshot-Cafe/217836308341636,$$ - $$$,$$ - $$$Quick BitesCafeAsian,+60 12-405 6276,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Brunch, After-hours"
Edelweiss Cafe,4.5 ,"38 Armeniam Street, George Town, Penang Island 10200 Malaysia",http://www.edelweisscafe.com/,$$ - $$$,$$ - $$$SwissVegetarian Friendly,+60 4-261 8935,Swiss,Vegetarian Friendly
Ivy's Nyonya Cuisine,4.5 ,"58 Jln Chow Thye, George Town, Penang Island 10250 Malaysia",http://www.facebook.com/ivysnyonyacuisine,$$ - $$$,$$ - $$$AsianNonya/MalaysianMalaysian,+60 13-433 7878,"Asian, Malaysian",Vegetarian Friendly
Il Bacaro,4.5 ,"Campbell House,106 Campbell Street Georgetown, Penang Island 10100 Malaysia",http://campbellhousepenang.com/il-bacaro/,$$ - $$$,$$ - $$$ItalianPizzaGrill,+60 4-261 8290,,
WHEELER'S,4.5 ,"67 Jalan Love Lane, George Town, Penang Island 10200 Malaysia",http://www.wheelers.com.my/,$$ - $$$,$$ - $$$CafeFusionHealthy,+60 19-524 7703,,
Yeap Noodles,4.5 ,"No. 227 Chulia Street 10200 Georgetown, Penang Island Malaysia",http://www.facebook.com/pages/Yeap-Noodles/148302501870288,$,$ChineseAsianMalaysian,+60 16-478 5453,"Vegetarian Friendly, Vegan Options","Lunch, Dinner"
Ferringhi Garden Restaurant,4.5 ,"34 A, B & C, Jalan Batu, Penang Island 11100 Malaysia",http://www.ferringhigarden.com.my/,$$ - $$$,$$ - $$$ChineseAsianCentral European,604-88 111 93,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, After-hours"
Kimpo Famous Roasted,4.5 ,"No. 20 Leith Street, George Town, Penang Island 10000 Malaysia",http://www.redgarden-food.com/,$,$ChineseAsianMalaysian,,Gluten Free Options,"Lunch, Dinner"
Rubin Mardini Cafe Restaurant,5.0 ,"Jalan Batu Ferringhi No 591, Batu Ferringhi, Penang Island 11100 Malaysia",http://www.facebook.com/rubinmardinii,$,$LebaneseMediterraneanTurkish,+60 14-910 0478,"Lebanese, Mediterranean, Turkish, Middle Eastern, Arabic","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options"
Via Pre Italian Restaurants,4.5 ,"20e, Lebuh Penang, George Town, Penang Island 10200 Malaysia",,$$ - $$$,$$ - $$$ItalianMediterraneanTuscan,+60 4-262 0560,"Mediterranean, Italian, Tuscan","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Pinxin Vegan Cuisine,4.5 ,"38, Lebuh Tye Sin, George Town, Penang Island 10300 Malaysia",,$$ - $$$,$$ - $$$CafeAsianFusion,+60 4-261 0043,"Cafe, Asian, Fusion, Healthy, Malaysian","Vegetarian Friendly, Vegan Options, Gluten Free Options"
Passion Heart,4.5 ,"23, Jalan A.S. Mansoor, George Town, Penang Island 10050 Malaysia",http://www.facebook.com/passionheartcafe/,$$ - $$$,$$ - $$$BakeriesCafeHealthy,+60 16-443 1336,Vegetarian Friendly,Lunch
What the Duck Restaurant Penang,4.5 ,"40 Jalan Nagore, George Town, Penang Island 10050 Malaysia",http://www.facebook.com/whattheduckrestaurant,$$ - $$$,$$ - $$$Asian,+60 4-227 8840,Asian,"Lunch, Dinner"
20 Chulia Lane Cafe,5.0 ,"20 Lorong Chulia, George Town, Penang Island 10200 Malaysia",,$$ - $$$,$$ - $$$FusionHealthyNonya/Malaysian,+60 4-963 9282,"Fusion, Healthy","Vegetarian Friendly, Vegan Options"
No.11 Specialty Restaurant,5.0 ,"11, Jalan Teluk Bahang, Teluk Bahang, Penang Island 11050 Malaysia",http://www.angsana.com/en/malaysia/penang,$$ - $$$,$$ - $$$FusionVegetarian FriendlyVegan Options,+60 4-817 0888,"Vegetarian Friendly, Vegan Options","Dinner, Lunch, Drinks"
The Book Sandwich Cafe,4.5 ,"217 Lebuh Pantai Georgetown, George Town, Penang Island 10300 Malaysia",https://www.thebooksandwichcafe.com/,$$ - $$$,$$ - $$$Vegetarian Friendly,+60 4261 3445,"Dinner, Lunch, Brunch, Drinks","Takeout, Reservations, Outdoor Seating, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Wine and Beer, Accepts Mastercard, Accepts Visa, Cash Only, Free Wifi, Accepts Credit Cards, Table Service, Dog Friendly, Family style, Non-smoking restaurants"
