Name,Rating,Address,URL,Price,Type,Phone,Cousine
Hai Sang Lou Chinese Restaurant,4.5 ,"Avani Sepang Goldcoast Resort, Sepang 43900 Malaysia",,$$ - $$$,$$ - $$$ChineseAsianCantonese,+60 3-3182 3600,"Vegetarian Friendly, Vegan Options, Gluten Free Options"
Perahu,4.5 ,"No. 67 Jalan Pasar AVANI Sepang Goldcoast Resort, Sepang 43950 Malaysia",,$$ - $$$,$$ - $$$SeafoodEuropeanContemporary,+60 3-3182 3600,Gluten Free Options
Bila-Bila Restaurant,4.0 ,"Bagan Lalang Avani Sepang Goldcoast Resort, Sepang 43900 Malaysia",http://www.avanihotels.com/sepang/dining/bila-bila.html,$$ - $$$,$$ - $$$InternationalVegetarian FriendlyVegan Options,+60 3-3182 3600,"Vegetarian Friendly, Vegan Options, Gluten Free Options"
Lucky King Bun,4.0 ,"4366 Taman Aman, Port Dickson 71010 Malaysia",,$$ - $$$,$$ - $$$ChineseAsianMalaysian,+60 6-651 2392,"Chinese, Asian, Malaysian"
Sepoi-Sepoi Cafe,4.0 ,"Jalan Pantai Bagan Lalang No. 67, AVANI Sepang Goldcoast Resort, Sepang 43950 Malaysia",,$$ - $$$,$$ - $$$CafeInternationalAsian,+60 3-3182 3600,"Cafe, Malaysian, International, Asian"
Tino's Pizza - Pantai,4.0 ,"Jalan Pantai, Batu 4 Bazar Mara, Port Dickson 71050 Malaysia",http://www.facebook.com/TinosPizzaPD/,$,$ItalianPizzaVegetarian Friendly,+60 10-335 4881,"Italian, Pizza"
Stimbot,4.5 ,"67, Jalan Pantai Bagan Lalang, Sungai Pelek, Selangor Darul Ehsan, Avani Sepang, Sepang 43950 Malaysia",,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 3-3182 3600,"Vegetarian Friendly, Vegan Options"
"La Playa, Bar & Restaurant",4.0 ,"Lot 43 Batu 4, Port Dickson 71000 Malaysia",,$$ - $$$,$$ - $$$ItalianBarPub,+60 6-646 2045,"Italian, Fusion, Malaysian, Bar, Pub"
Kafe Kampung Kaw,4.5 ,"Jalan Hj Sirat Kampung Baru Sirusa, Port Dickson 71050 Malaysia",,$,$AsianMalaysianHalal,+60 16-715 5434,"Asian, Malaysian"
Wave Dining,4.5 ,"Jalan Bantai at Lexis Hibiscus Port Dickson, Port Dickson 71250 Malaysia",,$$$$,$$$$International,+60 6-660 2626,Dinner
McDonald's,4.0 ,"Waterfront. No. 27 Jalan Pasar PD Waterfront, Port Dickson 71000 Malaysia",,$,$Quick BitesAmericanFast food,,Halal
Weng Yin Seafood Village,3.5 ,"Km 15.5 Jalan Pantai, Port Dickson 71050 Malaysia",,$$ - $$$,$$ - $$$ChineseSeafoodAsian,+60 12-629 1178,"Lunch, Dinner"
