poiID,activityRating,ratingDate,userID
P004916,5,5/1/2023,U05386
P002331,1,5/8/2022,U05782
P003441,4,30/5/2022,U04955
P002246,1,1/5/2023,U04555
P004084,4,19/5/2022,U09357
P004046,1,23/5/2022,U02330
P003464,4,20/8/2023,U05448
P002326,2,25/3/2022,U06363
P003452,2,5/5/2022,U08226
P002474,1,30/11/2022,U03260
P003573,4,23/8/2023,U07732
P005172,3,25/2/2022,U05710
P003270,2,9/3/2023,U04562
P001612,1,5/2/2023,U05756
P004360,1,26/7/2023,U03629
P001850,4,6/6/2022,U02908
P002980,5,19/8/2022,U08947
P000762,5,10/12/2022,U09345
P000524,4,3/3/2022,U02924
P001390,1,17/6/2022,U02585
P003053,1,26/9/2023,U03782
P001569,3,3/6/2022,U00921
P002724,2,10/7/2022,U02494
P000537,1,12/6/2023,U02886
P002398,2,1/4/2023,U05015
P002099,4,19/4/2023,U07527
P000485,3,6/11/2022,U07496
P000498,1,17/2/2023,U02888
P002580,5,13/6/2022,U09256
P001259,5,14/6/2022,U07470
P002629,1,21/5/2023,U07139
P002521,1,19/4/2023,U02652
P004849,5,15/4/2022,U03487
P004421,5,23/3/2022,U03950
P003681,4,14/6/2023,U04728
P003088,1,29/10/2022,U04968
P001680,2,4/5/2022,U03618
P000229,2,11/3/2023,U08185
P002708,2,2/3/2022,U04199
P003816,3,2/5/2022,U07556
P001107,5,16/9/2022,U06635
P001279,1,13/6/2023,U06997
P003945,4,15/3/2022,U02848
P001726,5,28/10/2022,U06538
P000683,3,13/3/2023,U02411
P004684,2,20/2/2023,U05204
P004374,2,6/7/2022,U04533
P000091,2,14/6/2022,U03814
P001285,1,24/9/2022,U04472
P002442,2,8/11/2022,U02219
P001003,1,7/2/2022,U07991
P002230,1,3/6/2022,U03095
P002000,5,27/11/2022,U00524
P000876,2,14/3/2022,U09860
P000356,2,6/8/2022,U00763
P005151,1,7/1/2022,U09667
P004543,3,30/4/2022,U07148
P001197,4,28/3/2023,U05076
P002419,3,3/4/2023,U07239
P005055,1,5/7/2022,U07687
P003733,1,23/12/2022,U04826
P002646,2,7/9/2023,U06307
P001421,4,20/2/2023,U02224
P001835,1,5/1/2022,U01491
P001709,4,30/4/2023,U01635
P005056,3,1/9/2022,U05907
P005191,2,3/4/2023,U00325
P001085,4,15/1/2022,U00918
P001627,3,16/7/2023,U00218
P000012,1,5/8/2022,U04500
P001011,3,22/9/2023,U06670
P004904,1,6/2/2022,U03095
P001046,4,27/11/2022,U06237
P001444,3,19/12/2022,U08612
P003095,3,9/1/2023,U01787
P000276,1,23/5/2022,U06710
P000574,3,16/7/2023,U06296
P002360,3,25/4/2023,U05375
P002633,4,25/3/2022,U00457
P001781,2,28/3/2022,U04221
P004839,3,30/3/2022,U00161
P000285,3,27/9/2022,U07079
P003496,4,7/1/2023,U08129
P000660,3,11/6/2023,U01785
P003261,3,1/9/2022,U02878
P000233,5,17/11/2022,U03036
P001093,2,22/5/2022,U05986
P003659,5,18/6/2023,U03604
P004117,2,20/6/2022,U03887
P000448,3,29/10/2023,U07082
P001908,2,30/4/2022,U07023
P000621,4,19/4/2022,U02128
P002394,4,29/7/2023,U02792
P002022,3,3/9/2023,U01834
P000936,4,1/9/2022,U04071
P000946,1,19/9/2023,U00817
P004135,4,29/10/2023,U09308
P004773,5,6/8/2022,U05466
P002698,1,3/6/2023,U07351
P000440,2,4/6/2022,U07316
P004247,5,6/2/2023,U00630
P000703,4,26/10/2023,U09029
P000830,1,5/2/2022,U04787
P004479,4,10/11/2022,U03675
P000438,4,6/1/2023,U07313
P001139,3,8/7/2023,U06105
P001421,5,1/3/2022,U02360
P003845,5,28/5/2023,U02301
P004312,4,3/2/2023,U06627
P001472,5,16/9/2022,U09033
P003578,1,15/3/2022,U00107
P002299,3,3/1/2023,U09373
P001040,1,3/4/2023,U00607
P000177,3,25/1/2023,U03872
P001438,1,18/7/2022,U08677
P000980,1,8/5/2022,U01320
P003881,1,22/1/2023,U00734
P002607,5,16/8/2023,U05799
P004502,2,25/3/2022,U05144
P000719,5,8/6/2022,U03740
P002475,4,28/6/2023,U00931
P003359,4,16/8/2023,U01041
P001230,3,30/3/2022,U08841
P003946,5,3/7/2023,U05628
P001160,2,12/10/2023,U02553
P004399,1,18/10/2022,U00865
P001844,2,5/2/2023,U07847
P005079,3,22/5/2022,U03478
P004589,3,26/8/2022,U07829
P003929,4,11/10/2022,U00177
P002237,2,14/3/2022,U01054
P001148,4,17/7/2022,U04944
P000256,2,23/6/2022,U01719
P003010,5,21/3/2022,U04113
P000070,4,6/1/2022,U02318
P004638,3,23/7/2023,U05693
P002514,3,16/4/2022,U03779
P001958,1,28/8/2023,U02742
P000298,1,14/2/2023,U00377
P004492,1,30/4/2023,U05570
P003103,3,23/1/2023,U03305
P001337,2,14/1/2022,U04721
P000394,5,10/8/2023,U00573
P003623,1,24/2/2023,U09224
P003254,2,1/3/2022,U05032
P001720,4,7/7/2023,U06799
P000557,3,2/2/2023,U07316
P001833,1,19/1/2023,U04695
P002953,3,2/12/2022,U06904
P002857,3,23/4/2022,U09809
P001521,1,10/3/2023,U08482
P002723,5,7/9/2023,U06866
P000081,5,9/4/2023,U02321
P003120,2,11/9/2022,U04073
P004851,2,4/6/2023,U08090
P001473,4,15/3/2022,U04482
P001325,1,1/6/2022,U05713
P004842,1,26/8/2022,U03013
P004567,2,25/11/2022,U07133
P004955,1,4/1/2022,U02020
P000001,3,8/7/2023,U07609
P002509,4,21/4/2023,U02003
P001690,1,1/3/2023,U04121
P003259,5,4/8/2023,U04925
P003035,4,8/3/2022,U03106
P001028,2,7/2/2022,U07159
P000036,4,31/7/2023,U06863
P000594,1,19/3/2022,U04761
P002361,2,28/7/2022,U01240
P004667,2,12/5/2023,U00091
P002375,3,26/7/2022,U01688
P002996,3,18/8/2023,U02357
P005084,3,7/10/2022,U00427
P003341,4,21/2/2023,U08529
P002727,3,30/8/2022,U01082
P002073,2,29/7/2022,U07461
P005059,1,22/10/2023,U04210
P002830,5,28/5/2022,U02317
P002646,3,30/5/2022,U04762
P004147,3,10/12/2022,U03992
P001149,3,19/6/2023,U01561
P003862,4,20/10/2023,U05347
P001224,1,6/10/2022,U07823
P000027,2,23/6/2023,U06717
P003353,4,7/3/2022,U00450
P002211,2,26/10/2023,U03205
P000746,2,24/10/2023,U07079
P004419,5,26/7/2022,U09129
P001491,4,3/9/2022,U05135
P003319,5,27/1/2023,U00597
P001435,2,8/9/2023,U06513
P003145,3,31/8/2022,U03994
P004247,4,16/1/2022,U06846
P000189,3,22/6/2022,U01343
P001972,1,28/10/2022,U00973
P001655,1,16/8/2023,U00972
P001861,5,28/1/2023,U07605
P002961,4,29/9/2022,U05248
P000151,3,25/2/2023,U06060
P002550,1,25/9/2023,U07527
P001059,3,18/8/2022,U03429
P001808,5,1/9/2023,U03800
P003767,4,12/9/2022,U03333
P001898,4,13/10/2022,U06281
P003805,5,24/4/2022,U08531
P004077,5,26/11/2022,U08193
P005044,1,28/5/2023,U08444
P001467,3,7/9/2023,U05230
P005205,3,6/7/2023,U00015
P000277,1,19/9/2022,U01212
P001902,4,19/9/2022,U05481
P004662,4,11/1/2022,U01722
P001668,1,2/1/2022,U09359
P000256,2,14/3/2022,U06565
P002685,3,16/8/2023,U08601
P003126,4,15/10/2022,U00791
P000253,4,6/3/2022,U05416
P003600,5,13/5/2022,U01051
P004508,1,29/6/2022,U02801
P000317,2,26/8/2022,U08030
P000093,4,21/6/2023,U09657
P000103,3,31/5/2022,U04977
P001187,3,11/4/2023,U03019
P000044,4,3/2/2022,U07590
P000179,2,4/1/2022,U09132
P004201,2,25/5/2022,U06809
P000564,1,9/3/2023,U08125
P004468,1,9/10/2022,U00188
P002901,5,15/7/2022,U06854
P004805,2,28/7/2022,U05567
P001711,1,2/6/2022,U03516
P005174,4,29/12/2022,U03578
P001796,5,30/1/2022,U03235
P001597,3,24/4/2023,U03188
P004534,5,17/10/2022,U00893
P004397,5,23/3/2022,U06306
P003963,2,13/8/2023,U07852
P003002,5,3/1/2022,U00571
P001084,2,1/6/2023,U07217
P005209,2,22/4/2022,U04803
P004188,2,9/4/2022,U09681
P001848,2,24/5/2023,U08234
P001694,5,25/6/2023,U01989
P003427,5,15/1/2022,U08842
P003002,2,22/1/2022,U01469
P004796,4,4/9/2022,U06216
P000809,2,25/3/2023,U08295
P004986,1,31/7/2022,U04811
P003549,2,25/5/2022,U04348
P003219,3,15/3/2022,U05714
P001361,3,8/9/2023,U07156
P004625,1,22/1/2022,U09918
P002360,5,6/12/2022,U02277
P002840,3,2/4/2022,U09313
P000539,4,26/4/2023,U00092
P000155,1,5/6/2022,U01997
P004889,4,8/5/2022,U07627
P001322,1,6/2/2023,U03798
P002378,3,13/8/2022,U07669
P003638,4,1/5/2023,U04337
P003476,3,9/7/2022,U03244
P001098,4,28/2/2023,U06143
P004916,3,23/9/2022,U02170
P004593,4,4/1/2022,U06469
P004506,4,28/8/2022,U08526
P000428,3,22/2/2023,U08387
P000909,5,29/9/2022,U01189
P004573,1,2/7/2022,U08346
P004618,5,26/3/2023,U07335
P001713,5,9/1/2022,U00421
P001310,2,5/6/2023,U00450
P004443,2,5/1/2023,U05884
P000641,5,10/2/2022,U04282
P000256,5,10/4/2022,U00901
P001092,5,2/1/2022,U02716
P003062,2,22/2/2022,U03216
P001486,3,28/2/2022,U07455
P003668,3,26/12/2022,U02593
P000843,4,21/3/2022,U00684
P002984,3,27/1/2023,U08704
P000103,4,2/3/2023,U05640
P000244,2,4/1/2023,U06548
P001198,5,21/3/2023,U04360
P001870,4,16/3/2023,U09381
P000473,4,5/8/2023,U01673
P000852,3,19/2/2022,U00928
P004457,5,14/5/2023,U05307
P001344,2,15/1/2022,U02550
P001834,2,6/9/2023,U05831
P001163,1,30/1/2022,U05657
P001436,3,26/3/2023,U07897
